action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[1379, 2067, 2675]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [418]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2, -2]","[1376, 160, 85]",2.0,"[None, None, None]",,445686,40.0,28110053.0,mouselab-mdp,1
"[1152, 1704, 2248]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [549]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, -2, 7]","[1150, 21, 32]",11.0,"[None, None, None]",,450334,41.0,27060078.0,mouselab-mdp,1
"[1043, 1643, 2203]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [468]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, -7, 7]","[1041, 77, 37]",-8.0,"[None, None, None]",,455134,42.0,32264986.0,mouselab-mdp,1
"[2525, 3101, 3653]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [640, 1602]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -2, 2]","[2524, 48, 33]",-4.0,"[None, None, None]",,461366,43.0,5159355.0,mouselab-mdp,1
"[1958, 2574, 3166]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3'], u'time': [446, 1383]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, -12, 2]","[1956, 97, 73]",-19.0,"[None, None, None]",,466910,44.0,1112738.0,mouselab-mdp,1
"[2442, 3106, 3682]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2'], u'time': [667, 1734]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, -2, 7]","[2439, 134, 45]",1.0,"[None, None, None]",,473038,45.0,78200990.0,mouselab-mdp,1
"[1632, 2192, 2752]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [362]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-12, -2, -2]","[1630, 30, 39]",-17.0,"[None, None, None]",,478382,46.0,27793219.0,mouselab-mdp,1
"[4335, 4856, 5384]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3'], u'time': [3491]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 12, 7]","[4333, 3, 13]",11.0,"[None, None, None]",,486103,47.0,1933767.0,mouselab-mdp,1
"[1300, 1900, 2453]","[u'up', u'left', u'left']",test,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3'], u'time': [462]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-7, 2, 7]","[1298, 66, 35]",1.0,"[None, None, None]",,491022,48.0,50807457.0,mouselab-mdp,1
"[1384, 1968, 2536]","[u'up', u'right', u'right']",test,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5'], u'time': [455]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-12, -7, 2]","[1380, 58, 59]",-18.0,"[None, None, None]",,496807,49.0,36504556.0,mouselab-mdp,1
"[26404, 28066, 30015]","[u'up', u'right', u'right']",train_basic,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[7, 12, 2]","[26400, 1161, 1454]",21.0,"[None, None, None]",,34634,0.0,34130348.0,mouselab-mdp,2
"[2679, 9029, 11992]","[u'down', u'left', u'left']",train_basic,,,"[u'0', u'6', u'9', u'10']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, None, None]","[2676, 5844, 2457]",,"[None, None, None]",,50341,1.0,41054870.0,mouselab-mdp,2
"[2072, 7734, 8527]","[u'up', u'right', u'right']",train_basic,,,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, 7, 2]","[2070, 5164, 293]",11.0,"[None, None, None]",,62228,2.0,3820821.0,mouselab-mdp,2
"[5274, 6985, 8248]","[u'down', u'right', u'right']",train_basic,,,"[u'0', u'6', u'7', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, None, None]","[5272, 1208, 766]",,"[None, None, None]",,73572,3.0,24922504.0,mouselab-mdp,2
"[1608, 3932, 4603]","[u'down', u'left', u'left']",train_basic,,,"[u'0', u'6', u'9', u'10']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[2, None, None]","[1606, 1816, 167]",,"[None, None, None]",,80986,4.0,98206447.0,mouselab-mdp,2
"[5557, 6954, 7997]","[u'up', u'left', u'left']",train_basic,,,"[u'0', u'1', u'4', u'5']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-2, 7, -2]","[5555, 907, 546]",3.0,"[None, None, None]",,91939,5.0,32304405.0,mouselab-mdp,2
