PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,version
none,1.33,0.005,True,0,,,False,after_each_move,0.01,none,295,1A.1
none,1.47,0.005,True,0,,,False,after_each_move,0.01,none,296,1A.1
featureBased,0.0,0.005,False,5,18.0,8.0,True,after_each_move,2.5,full,297,1A.1
objectLevel,1.08,0.005,True,8,,,True,after_each_move,2.5,full,298,1A.1
none,0.0,0.005,False,0,18.0,8.0,False,after_each_move,0.01,none,299,1A.1
none,1.09,0.005,True,0,,,False,after_each_move,0.01,none,300,1A.1
none,0.0,0.005,False,2,,,False,after_each_move,2.5,none,301,1A.1
objectLevel,2.73,0.005,True,6,,,True,after_each_move,0.01,full,302,1A.1
none,0.0,0.005,False,1,,,False,after_each_move,1.0,none,303,1A.1
objectLevel,2.83,0.005,True,6,,,True,after_each_move,0.01,full,304,1A.1
featureBased,2.98,0.005,True,4,,,True,after_each_move,1.0,full,305,1A.1
objectLevel,0.46,0.005,True,8,,,True,after_each_move,2.5,full,306,1A.1
