,bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
104,0.0,0.0015,312,True,0,1,104,Fri Apr 06 2018 18:31:08 GMT-0400 (Eastern Daylight Time),False,A1.0
105,2.22,0.0015,312,True,1,1,105,Fri Apr 06 2018 20:07:45 GMT-0400 (Eastern Daylight Time),True,A1.0
106,0.0,0.0015,312,True,1,1,106,Wed Apr 04 2018 15:39:55 GMT-0400 (Eastern Daylight Time),True,A1.0
107,0.0,0.0015,312,True,0,1,107,Wed Apr 04 2018 20:02:16 GMT-0400 (Eastern Daylight Time),False,A1.0
108,0.0,0.0015,312,True,1,1,108,Thu Apr 05 2018 14:12:13 GMT-0400 (EDT),True,A1.0
109,0.0,0.0015,312,True,0,1,109,Fri Apr 06 2018 17:07:31 GMT-0700 (US Mountain Standard Time),False,A1.0
110,0.0,0.0015,312,True,1,1,110,Fri Apr 06 2018 22:26:58 GMT-0700 (Pacific Daylight Time),True,A1.0
111,0.0,0.0015,312,True,0,1,111,Fri Apr 06 2018 20:33:57 GMT-0400 (Eastern Daylight Time),False,A1.0
112,0.0,0.0015,312,True,0,1,112,Wed Apr 04 2018 14:37:29 GMT-0600 (Mountain Daylight Time),False,A1.0
113,0.0,0.0015,312,True,0,1,113,Wed Apr 04 2018 15:36:36 GMT-0400 (Eastern Daylight Time),False,A1.0
114,0.0,0.0015,312,True,1,1,114,Fri Apr 06 2018 20:12:24 GMT-0400 (Eastern Daylight Time),True,A1.0
115,0.0,0.0015,312,True,0,1,115,Wed Apr 04 2018 14:28:51 GMT-0500 (Central Daylight Time),False,A1.0
116,0.0,0.0015,312,True,0,1,116,Wed Apr 04 2018 14:20:11 GMT-0500 (Central Daylight Time),False,A1.0
117,0.0,0.0015,312,True,1,1,117,Wed Apr 04 2018 12:19:50 GMT-0700 (Pacific Daylight Time),True,A1.0
118,2.06,0.0015,312,True,1,1,118,Wed Apr 04 2018 12:23:46 GMT-0700 (PDT),True,A1.0
119,0.72,0.0015,312,True,0,1,119,Thu Apr 05 2018 14:12:08 GMT-0400 (Eastern Daylight Time),False,A1.0
120,0.0,0.0015,312,True,0,1,120,Thu Apr 05 2018 14:23:08 GMT-0400 (Eastern Standard Time),False,A1.0
121,2.15,0.0015,312,True,1,1,121,Fri Apr 06 2018 20:11:43 GMT-0400 (Eastern Daylight Time),True,A1.0
122,0.0,0.0015,312,True,1,1,122,Thu Apr 05 2018 10:33:34 GMT-0500 (CDT),True,A1.0
123,2.18,0.0015,312,True,1,1,123,Fri Apr 06 2018 16:52:03 GMT-0400 (EDT),True,A1.0
124,2.37,0.0015,312,True,0,1,124,Fri Apr 06 2018 19:28:42 GMT-0400 (EDT),False,A1.0
125,0.0,0.0015,312,True,0,1,125,Thu Apr 05 2018 15:23:47 GMT-0400 (EDT),False,A1.0
126,0.0,0.0015,312,True,1,1,126,Sat Apr 07 2018 12:20:47 GMT+0900 (&#26481;&#20140; (&#27161;&#28310;&#26178;)),True,A1.0
127,1.5,0.0015,312,True,1,1,127,Thu Apr 05 2018 11:27:14 GMT-0700 (US Mountain Standard Time),True,A1.0
128,2.31,0.0015,312,True,0,1,128,Thu Apr 05 2018 13:12:02 GMT-0500 (Central Daylight Time),False,A1.0
129,0.0,0.0015,312,True,1,1,129,Wed Apr 04 2018 15:25:31 GMT-0400 (Eastern Daylight Time),True,A1.0
130,0.0,0.0015,312,True,0,1,130,Wed Apr 04 2018 13:24:19 GMT-0600 (Mountain Daylight Time),False,A1.0
131,1.38,0.0015,312,True,1,1,131,Wed Apr 04 2018 15:27:26 GMT-0400 (Eastern Daylight Time),True,A1.0
132,0.0,0.0015,312,True,1,1,132,Fri Apr 06 2018 17:10:34 GMT-0700 (US Mountain Standard Time),True,A1.0
133,0.0,0.0015,312,True,0,1,133,Thu Apr 05 2018 11:31:15 GMT-0400 (Eastern Daylight Time),False,A1.0
134,0.0,0.0015,312,True,0,1,134,Fri Apr 06 2018 19:33:11 GMT-0400 (EDT),False,A1.0
135,0.0,0.0015,312,True,1,1,135,Fri Apr 06 2018 17:46:45 GMT-0400 (EDT),True,A1.0
136,0.0,0.0015,312,True,0,1,136,Fri Apr 06 2018 20:13:04 GMT-0500 (Central Daylight Time),False,A1.0
137,0.0,0.0015,312,True,0,1,137,Wed Apr 04 2018 15:48:46 GMT-0700 (PDT),False,A1.0
138,0.0,0.0015,312,True,1,1,138,Fri Apr 06 2018 11:45:29 GMT-0600 (Mountain Daylight Time),True,A1.0
139,0.0,0.0015,312,True,0,1,139,Fri Apr 06 2018 18:24:33 GMT-0400 (Eastern Daylight Time),False,A1.0
140,0.0,0.0015,312,True,1,1,140,Wed Apr 04 2018 15:13:34 GMT-0500 (Central Daylight Time),True,A1.0
141,0.0,0.0015,312,True,1,1,141,Thu Apr 05 2018 16:44:09 GMT-0700 (Pacific Daylight Time),True,A1.0
142,0.0,0.0015,312,True,0,1,142,Fri Apr 06 2018 12:56:52 GMT-0500 (Central Daylight Time),False,A1.0
143,2.13,0.0015,312,True,1,1,143,Fri Apr 06 2018 12:05:33 GMT-0500 (Central Daylight Time),True,A1.0
144,0.0,0.0015,312,True,1,1,144,Fri Apr 06 2018 20:18:52 GMT-0500 (CDT),True,A1.0
145,0.0,0.0015,312,True,0,1,145,Fri Apr 06 2018 18:12:50 GMT-0400 (Eastern Daylight Time),False,A1.0
146,0.0,0.0015,312,True,1,1,146,Sat Apr 07 2018 00:36:16 GMT-0400 (EDT),True,A1.0
147,0.0,0.0015,312,True,0,1,147,Thu Apr 05 2018 13:20:56 GMT-0500 (Central Daylight Time),False,A1.0
148,1.86,0.0015,312,True,1,1,148,Wed Apr 04 2018 17:23:21 GMT-0400 (Eastern Daylight Time),True,A1.0
149,0.0,0.0015,312,True,1,1,149,Wed Apr 04 2018 14:56:33 GMT-0500 (Central Daylight Time),True,A1.0
150,0.45,0.0015,312,True,0,1,150,Wed Apr 04 2018 15:23:15 GMT-0400 (Eastern Daylight Time),False,A1.0
151,0.0,0.0015,312,True,0,1,151,Wed Apr 04 2018 15:41:14 GMT-0400 (Eastern Daylight Time),False,A1.0
152,0.0,0.0015,312,True,0,1,152,Wed Apr 04 2018 15:26:04 GMT-0400 (Eastern Daylight Time),False,A1.0
153,2.22,0.0015,312,True,0,1,153,Wed Apr 04 2018 17:09:17 GMT-0400 (Eastern Daylight Time),False,A1.0
154,0.0,0.0015,312,True,1,1,154,Fri Apr 06 2018 13:19:06 GMT-0400 (Eastern Daylight Time),True,A1.0
155,0.45,0.0015,312,True,0,1,155,Fri Apr 06 2018 14:42:43 GMT-0400 (EDT),False,A1.0
156,0.0,0.0015,312,True,0,1,156,Fri Apr 06 2018 18:51:58 GMT-0400 (Eastern Daylight Time),False,A1.0
157,0.0,0.0015,312,True,0,1,157,Wed Apr 04 2018 19:31:26 GMT-0400 (Eastern Daylight Time),False,A1.0
158,0.0,0.0015,312,True,0,1,158,Wed Apr 04 2018 15:18:35 GMT-0400 (Eastern Daylight Time),False,A1.0
159,2.3,0.0015,312,True,0,1,159,Fri Apr 06 2018 15:08:51 GMT-0700 (US Mountain Standard Time),False,A1.0
160,0.52,0.0015,312,True,1,1,160,Wed Apr 04 2018 17:07:41 GMT-0700 (Pacific Daylight Time),True,A1.0
161,2.08,0.0015,312,True,0,1,161,Wed Apr 04 2018 15:18:16 GMT-0400 (Eastern Daylight Time),False,A1.0
162,0.0,0.0015,312,True,0,1,162,Fri Apr 06 2018 16:36:38 GMT-0400 (Eastern Daylight Time),False,A1.0
163,0.0,0.0015,312,True,0,1,163,Fri Apr 06 2018 20:11:28 GMT-0400 (Eastern Daylight Time),False,A1.0
164,0.0,0.0015,312,True,1,1,164,Wed Apr 04 2018 15:28:18 GMT-0400 (Eastern Daylight Time),True,A1.0
165,0.0,0.0015,312,True,0,1,165,Thu Apr 05 2018 11:35:25 GMT-0400 (Eastern Daylight Time),False,A1.0
166,0.0,0.0015,312,True,0,1,166,Fri Apr 06 2018 21:02:16 GMT-0500 (CDT),False,A1.0
167,0.0,0.0015,312,True,1,1,167,Thu Apr 05 2018 11:32:24 GMT-0400 (Eastern Daylight Time),True,A1.0
168,0.0,0.0015,312,True,1,1,168,Thu Apr 05 2018 13:10:33 GMT-0700 (Pacific Daylight Time),True,A1.0
169,1.79,0.0015,312,True,1,1,169,Thu Apr 05 2018 14:23:34 GMT-0400 (Eastern Daylight Time),True,A1.0
170,0.0,0.0015,312,True,1,1,170,Thu Apr 05 2018 10:42:13 GMT-0500 (Central Daylight Time),True,A1.0
171,0.0,0.0015,312,True,1,1,171,Wed Apr 04 2018 15:19:52 GMT-0400 (Eastern Daylight Time),True,A1.0
172,1.92,0.0015,312,True,1,1,172,Fri Apr 06 2018 19:47:08 GMT-0500 (Central Daylight Time),True,A1.0
173,0.0,0.0015,312,True,0,1,173,Fri Apr 06 2018 15:34:25 GMT-0400 (Eastern Daylight Time),False,A1.0
174,0.45,0.0015,312,True,1,1,174,Fri Apr 06 2018 13:48:51 GMT-0400 (Eastern Daylight Time),True,A1.0
175,0.0,0.0015,312,True,0,1,175,Fri Apr 06 2018 20:24:25 GMT-0400 (Eastern Daylight Time),False,A1.0
176,0.0,0.0015,312,True,1,1,176,Fri Apr 06 2018 17:26:21 GMT-0500 (CDT),True,A1.0
177,0.0,0.0015,312,True,1,1,177,Wed Apr 04 2018 15:34:55 GMT-0400 (Eastern Daylight Time),True,A1.0
178,0.0,0.0015,312,True,0,1,178,Thu Apr 05 2018 13:06:25 GMT-0500 (Central Daylight Time),False,A1.0
179,0.0,0.0015,312,True,0,1,179,Fri Apr 06 2018 13:58:43 GMT-0400 (Eastern Daylight Time),False,A1.0
180,0.0,0.0015,312,True,0,1,180,Thu Apr 05 2018 14:47:31 GMT-0500 (Central Daylight Time),False,A1.0
181,0.0,0.0015,312,True,0,1,181,Fri Apr 06 2018 11:09:42 GMT-0600 (Mountain Daylight Time),False,A1.0
182,0.0,0.0015,312,True,1,1,182,Wed Apr 04 2018 15:39:05 GMT-0400 (Eastern Daylight Time),True,A1.0
183,0.0,0.0015,312,True,0,1,183,Wed Apr 04 2018 14:52:53 GMT-0700 (Pacific Daylight Time),False,A1.0
184,0.0,0.0015,312,True,1,1,184,Fri Apr 06 2018 17:35:47 GMT-0400 (Eastern Daylight Time),True,A1.0
185,0.0,0.0015,312,True,0,1,185,Fri Apr 06 2018 21:42:53 GMT-0400 (EDT),False,A1.0
