action_times,actions,block,button_pressed,key_press,path,queries,responses,rewards,rt,score,simulation_mode,stimulus,time_elapsed,trial_index,trial_id,trial_type,pid
"[5075, 5638, 6197]","[u'left', u'left', u'up']",test,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'12', u'11', u'13', u'7', u'3'], u'time': [602, 1419, 1964, 2712, 3535, 3981]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-24, 24, 24]","[5074, 47, 52]",18.0,"[None, None, None]",,273328,31.0,7400.0,mouselab-mdp,5
"[7678, 8272, 8832]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'6', u'2', u'9', u'1', u'5'], u'time': [892, 1790, 3012, 6016, 6791, 7194]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 40, 24]","[7677, 94, 59]",66.0,"[None, None, None]",,283952,32.0,51897.0,mouselab-mdp,5
"[3766, 4348, 4854]","[u'up', u'up', u'right']",test,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'12', u'6', u'2'], u'time': [656, 1248, 2161, 2715, 3169]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 24]","[3765, 79, 2]",19.0,"[None, None, None]",,290688,33.0,24987.0,mouselab-mdp,5
"[3414, 3919, 4516]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1'], u'time': [624, 1175, 1769]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[40, -40, 24]","[3413, 2, 83]",21.0,"[None, None, None]",,297089,34.0,62994.0,mouselab-mdp,5
"[5447, 6000, 6533]","[u'up', u'up', u'right']",test,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'12', u'2', u'6'], u'time': [880, 2333, 4233, 4885]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 8, 8]","[5445, 58, 22]",36.0,"[None, None, None]",,306922,35.0,97968.0,mouselab-mdp,5
"[2969, 3548, 6414]","[u'up', u'up', u'left']",test,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'12', u'2'], u'time': [1114, 1858, 2515]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 40, -24]","[2968, 83, 2366]",37.0,"[None, None, None]",,316548,36.0,93918.0,mouselab-mdp,5
"[2830, 3453, 4002]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1'], u'time': [912, 1491, 2209]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 40, 40]","[2829, 121, 53]",101.0,"[None, None, None]",,322339,37.0,88537.0,mouselab-mdp,5
"[7467, 8479, 9145]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1', u'12', u'6', u'11', u'2', u'10'], u'time': [629, 1297, 1818, 2777, 3351, 3827, 4609, 5887]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 8]","[7467, 504, 172]",0.0,"[None, None, None]",,333513,38.0,78914.0,mouselab-mdp,5
"[6399, 6966, 7543]","[u'left', u'left', u'up']",test,,,"[0, 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'6', u'12', u'7', u'13', u'3'], u'time': [552, 1154, 2583, 3010, 3818, 4481, 5619]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, -8, 24]","[6398, 67, 59]",17.0,"[None, None, None]",,343048,39.0,57233.0,mouselab-mdp,5
"[2574, 3140, 3686]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'5'], u'time': [984, 1560, 2055]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 40, 8]","[2573, 70, 50]",69.0,"[None, None, None]",,349181,40.0,71503.0,mouselab-mdp,5
"[6525, 7107, 7998]","[u'up', u'up', u'left']",test,,,"[0, 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5', u'1', u'12', u'6', u'11'], u'time': [1551, 2136, 2582, 3836, 4343, 5644]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[40, 40, 24]","[6524, 70, 376]",98.0,"[None, None, None]",,359418,41.0,97982.0,mouselab-mdp,5
"[2505, 3182, 3706]","[u'up', u'up', u'right']",test,,,"[0, 2, 6, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'6', u'12', u'2'], u'time': [1172, 1570, 2048]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, 8]","[2504, 182, 21]",21.0,"[None, None, None]",,364910,42.0,91729.0,mouselab-mdp,5
"[4244, 4823, 5366]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'6', u'2', u'9', u'5', u'1'], u'time': [640, 1059, 1538, 2274, 2733, 3632]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, 24]","[4244, 77, 48]",18.0,"[None, None, None]",,372453,43.0,14340.0,mouselab-mdp,5
"[7476, 8063, 8661]","[u'right', u'right', u'down']",test,,,"[0, 1, 5, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'1', u'9', u'12', u'6', u'2', u'10'], u'time': [1512, 1916, 2374, 4672, 5253, 5794, 6749]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[8, 8, 8]","[7474, 76, 90]",17.0,"[None, None, None]",,383149,44.0,55918.0,mouselab-mdp,5
"[27904, 28581, 29173]","[u'right', u'right', u'up']",test,,,"[0, 1, 5, 9]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'1'], u'time': [25545, 25946, 27336]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[-8, 8, 40]","[27903, 183, 91]",37.0,"[None, None, None]",,414724,45.0,11540.0,mouselab-mdp,5
"[13151, 13724, 14286]","[u'down', u'down', u'left']",test,,,"[0, 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1', u'12', u'6', u'13', u'14', u'3', u'7', u'4', u'8', u'15', u'16'], u'time': [1452, 2562, 4254, 4805, 5825, 6470, 7090, 7764, 9250, 9921, 11665, 12376]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,"[24, 24, -8]","[13149, 71, 65]",28.0,"[None, None, None]",,431129,46.0,98460.0,mouselab-mdp,5
