p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,8287,,8287,,,instructions,"[{""page_index"":0,""viewing_time"":3111},{""page_index"":1,""viewing_time"":3775},{""page_index"":2,""viewing_time"":1400}]",74
,,,,,,,,,,,,,,9550,,36766,,,instructions,"[{""page_index"":0,""viewing_time"":1726},{""page_index"":1,""viewing_time"":1104},{""page_index"":2,""viewing_time"":6720}]",74
,,,,,,,,,,,,,,84159,,139062,,,instructions,"[{""page_index"":0,""viewing_time"":61127},{""page_index"":1,""viewing_time"":20983},{""page_index"":2,""viewing_time"":2049}]",74
,,,,,,,,,,,,,,92483,,92483,,,instructions,"[{""page_index"":0,""viewing_time"":52137},{""page_index"":1,""viewing_time"":25968},{""page_index"":2,""viewing_time"":14376}]",75
,,,,,,,,,,,,,,53722,,53724,,,instructions,"[{""page_index"":0,""viewing_time"":33291},{""page_index"":1,""viewing_time"":13828},{""page_index"":2,""viewing_time"":6602}]",76
,,,,,,,,,,,,,,214388,,303702,,,instructions,"[{""page_index"":0,""viewing_time"":56138},{""page_index"":1,""viewing_time"":124271},{""page_index"":2,""viewing_time"":33979}]",76
,,,,,,,,,,,,,,92391,,92392,,,instructions,"[{""page_index"":0,""viewing_time"":36288},{""page_index"":1,""viewing_time"":32039},{""page_index"":2,""viewing_time"":24063}]",77
,,,,,,,,,,,,,,27673,,153265,,,instructions,"[{""page_index"":0,""viewing_time"":13744},{""page_index"":1,""viewing_time"":8372},{""page_index"":2,""viewing_time"":5556}]",77
,,,,,,,,,,,,,,232131,,232132,,,instructions,"[{""page_index"":0,""viewing_time"":114011},{""page_index"":1,""viewing_time"":69143},{""page_index"":2,""viewing_time"":48975}]",78
,,,,,,,,,,,,,,106830,,106833,,,instructions,"[{""page_index"":0,""viewing_time"":55944},{""page_index"":1,""viewing_time"":27094},{""page_index"":2,""viewing_time"":23790}]",79
,,,,,,,,,,,,,,86064,,86068,,,instructions,"[{""page_index"":0,""viewing_time"":5025},{""page_index"":1,""viewing_time"":44890},{""page_index"":2,""viewing_time"":36147}]",80
,,,,,,,,,,,,,,38586,,165568,,,instructions,"[{""page_index"":0,""viewing_time"":16130},{""page_index"":1,""viewing_time"":14174},{""page_index"":2,""viewing_time"":8280}]",80
,,,,,,,,,,,,,,132220,,132222,,,instructions,"[{""page_index"":0,""viewing_time"":32664},{""page_index"":1,""viewing_time"":59216},{""page_index"":2,""viewing_time"":40340}]",81
,,,,,,,,,,,,,,128138,,128139,,,instructions,"[{""page_index"":0,""viewing_time"":47361},{""page_index"":1,""viewing_time"":48233},{""page_index"":2,""viewing_time"":32544}]",82
,,,,,,,,,,,,,,146186,,146186,,,instructions,"[{""page_index"":0,""viewing_time"":58099},{""page_index"":1,""viewing_time"":49922},{""page_index"":2,""viewing_time"":38163}]",83
,,,,,,,,,,,,,,97159,,97159,,,instructions,"[{""page_index"":0,""viewing_time"":35015},{""page_index"":1,""viewing_time"":34014},{""page_index"":2,""viewing_time"":28129}]",84
,,,,,,,,,,,,,,28917,,161718,,,instructions,"[{""page_index"":0,""viewing_time"":10368},{""page_index"":1,""viewing_time"":12698},{""page_index"":2,""viewing_time"":5851}]",84
,,,,,,,,,,,,,,285224,,285226,,,instructions,"[{""page_index"":0,""viewing_time"":78986},{""page_index"":1,""viewing_time"":169025},{""page_index"":2,""viewing_time"":37212}]",85
,,,,,,,,,,,,,,23744,,23746,,,instructions,"[{""page_index"":0,""viewing_time"":16217},{""page_index"":1,""viewing_time"":5439},{""page_index"":2,""viewing_time"":2087}]",86
,,,,,,,,,,,,,,42467,,91810,,,instructions,"[{""page_index"":0,""viewing_time"":8237},{""page_index"":1,""viewing_time"":10218},{""page_index"":2,""viewing_time"":24012}]",86
