action_times,actions,button_pressed,correct,delays,key_press,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,90595,,,90596,,,instructions,"[{""page_index"":0,""viewing_time"":43221},{""page_index"":1,""viewing_time"":29012},{""page_index"":2,""viewing_time"":18361}]",33
,,,,,,,,,,170929,,,170929,,,instructions,"[{""page_index"":0,""viewing_time"":66105},{""page_index"":1,""viewing_time"":1688},{""page_index"":0,""viewing_time"":4967},{""page_index"":1,""viewing_time"":31396},{""page_index"":2,""viewing_time"":23984},{""page_index"":3,""viewing_time"":29424},{""page_index"":2,""viewing_time"":1028},{""page_index"":1,""viewing_time"":296},{""page_index"":0,""viewing_time"":8912},{""page_index"":1,""viewing_time"":2328},{""page_index"":2,""viewing_time"":536},{""page_index"":3,""viewing_time"":264}]",34
,,,,,,,,,,23119,,,23121,,,instructions,"[{""page_index"":0,""viewing_time"":18335},{""page_index"":1,""viewing_time"":2744},{""page_index"":2,""viewing_time"":1135},{""page_index"":3,""viewing_time"":904}]",35
,,,,,,,,,,25333,,,95022,,,instructions,"[{""page_index"":0,""viewing_time"":6132},{""page_index"":1,""viewing_time"":5277},{""page_index"":2,""viewing_time"":9331},{""page_index"":3,""viewing_time"":4592}]",35
,,,,,,,,,,246045,,,246046,,,instructions,"[{""page_index"":0,""viewing_time"":61126},{""page_index"":1,""viewing_time"":73108},{""page_index"":2,""viewing_time"":65525},{""page_index"":3,""viewing_time"":46285}]",36
,,,,,,,,,,574760,,,574760,,,instructions,"[{""page_index"":0,""viewing_time"":528128},{""page_index"":1,""viewing_time"":15243},{""page_index"":2,""viewing_time"":31388}]",37
,,,,,,,,,,59577,,,657696,,,instructions,"[{""page_index"":0,""viewing_time"":13901},{""page_index"":1,""viewing_time"":34919},{""page_index"":2,""viewing_time"":10755}]",37
,,,,,,,,,,50872,,,50873,,,instructions,"[{""page_index"":0,""viewing_time"":46610},{""page_index"":1,""viewing_time"":1797},{""page_index"":2,""viewing_time"":1285},{""page_index"":3,""viewing_time"":1180}]",38
,,,,,,,,,,211427,,,211428,,,instructions,"[{""page_index"":0,""viewing_time"":108262},{""page_index"":1,""viewing_time"":47726},{""page_index"":2,""viewing_time"":24557},{""page_index"":3,""viewing_time"":30880}]",39
,,,,,,,,,,98818,,,98819,,,instructions,"[{""page_index"":0,""viewing_time"":35341},{""page_index"":1,""viewing_time"":27200},{""page_index"":2,""viewing_time"":13870},{""page_index"":3,""viewing_time"":22406}]",40
,,,,,,,,,,52780,,,189358,,,instructions,"[{""page_index"":0,""viewing_time"":17782},{""page_index"":1,""viewing_time"":12913},{""page_index"":2,""viewing_time"":16011},{""page_index"":3,""viewing_time"":6073}]",40
,,,,,,,,,,55205,,,260659,,,instructions,"[{""page_index"":0,""viewing_time"":14681},{""page_index"":1,""viewing_time"":8245},{""page_index"":2,""viewing_time"":13535},{""page_index"":3,""viewing_time"":18744}]",40
