action_times,actions,button_pressed,correct,delays,key_press,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[49755, 52646, 54255]","[u'right', u'right', u'down']",,,[],,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'2', u'5', u'4', u'9', u'16', u'17', u'6', u'10', u'11'], u'time': [6492, 7678, 8850, 9492, 11116, 13695, 14413, 15460, 20033, 20757, 21773]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49755, 2374, 1083]",17.0,,1251860,15.0,11.0,mouselab-mdp,,2
"[49755, 51880, 52818]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'4', u'8', u'14', u'15'], u'time': [2507, 3537, 4272, 5803, 15148, 16289, 18319, 20826]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49755, 1593, 416]",44.0,,1310088,16.0,14.0,mouselab-mdp,,2
"[12765, 31034, 38369]","[u'down', u'down', u'right']",,,"[6, 0, 0]",,"[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'17', u'16'], u'time': [8999, 34665, 36736]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12765, 9411, 6260]",48.0,,192921,1.0,9.0,mouselab-mdp,,3
"[9821, 21025, 26987]","[u'down', u'down', u'left']",,,"[7, 0, 0]",,"[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'2', u'5', u'17', u'16'], u'time': [2809, 3915, 6090, 8007, 23382, 24173]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9821, 627, 4913]",0.0,,251849,2.0,5.0,mouselab-mdp,,3
"[10324, 19720, 20677]","[u'left', u'left', u'up']",,,"[3, 0, 0]",,"[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'10', u'11', u'15', u'14'], u'time': [1329, 2142, 2885, 4023, 5675, 6422, 7381, 8089]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10324, 1856, 5]",20.0,,324500,3.0,7.0,mouselab-mdp,,3
"[18568, 32420, 33423]","[u'right', u'right', u'down']",,,"[4, 0, 0]",,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'10', u'11', u'3', u'4', u'5'], u'time': [1832, 4317, 5134, 8389, 9431, 10478]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18568, 5728, 5]",2.0,,379961,4.0,4.0,mouselab-mdp,,3
"[20928, 28253, 29070]","[u'right', u'right', u'down']",,,"[1, 0, 0]",,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'4', u'16', u'17', u'11', u'10', u'13', u'12', u'14', u'15'], u'time': [1145, 1853, 2495, 3608, 5971, 6818, 8216, 9400, 10446, 11102, 12349, 13060]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[20927, 655, 5]",46.0,,434562,5.0,8.0,mouselab-mdp,,3
"[11580, 18962, 19839]","[u'left', u'left', u'up']",,,"[0, 0, 0]",,"[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'16', u'17', u'11', u'10', u'13', u'12', u'14', u'15'], u'time': [989, 1531, 2233, 2911, 3590, 4121, 4918, 5460, 6266, 7278, 8015, 8660]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11580, 1516, 4]",50.0,,487251,6.0,0.0,mouselab-mdp,,3
"[14075, 24795, 25679]","[u'up', u'up', u'right']",,,"[4, 0, 0]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'4', u'14', u'15', u'12', u'13', u'10', u'11', u'17', u'16'], u'time': [675, 1141, 1819, 2750, 3373, 4061, 4731, 5493, 5920, 6499, 7070, 8013]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14074, 830, 4]",43.0,,544896,7.0,3.0,mouselab-mdp,,3
"[12121, 18817, 19647]","[u'right', u'right', u'down']",,,"[0, 0, 0]",,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'5', u'3', u'12', u'13', u'17', u'16', u'15', u'14', u'11', u'10'], u'time': [901, 1521, 2123, 2745, 3987, 4733, 5546, 6102, 7290, 7956, 8815, 9558]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12121, 1072, 4]",45.0,,597961,8.0,6.0,mouselab-mdp,,3
"[15124, 25991, 26853]","[u'up', u'up', u'right']",,,"[4, 0, 0]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'5', u'2', u'13', u'12', u'14', u'15', u'16', u'17', u'11', u'10'], u'time': [1451, 2342, 2872, 3439, 3994, 4496, 5539, 6244, 7147, 7973, 8613, 9310]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15124, 985, 4]",43.0,,655994,9.0,2.0,mouselab-mdp,,3
"[14731, 21658, 22757]","[u'up', u'up', u'right']",,,"[0, 0, 0]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'5', u'4', u'16', u'17', u'11', u'10', u'13', u'12', u'14', u'15'], u'time': [1503, 2277, 3221, 3966, 5066, 5805, 6636, 8309, 9325, 10818, 12214, 13017]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14731, 785, 185]",28.0,,711177,10.0,1.0,mouselab-mdp,,3
"[13688, 14591, 15415]","[u'right', u'right', u'up']",,,[],,"[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'4', u'3', u'9', u'8', u'17', u'6', u'11', u'10'], u'time': [947, 1825, 2703, 3469, 4384, 6363, 7746, 9985, 11191, 11999]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13688, 368, 291]",43.0,,768706,11.0,10.0,mouselab-mdp,,3
"[16813, 17580, 18379]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'5', u'4', u'7', u'13', u'12', u'8', u'15', u'14'], u'time': [809, 1574, 2663, 3432, 5636, 6907, 7834, 9647, 10494, 11285]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[16813, 246, 276]",42.0,,817236,12.0,14.0,mouselab-mdp,,3
"[12136, 12845, 13540]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'5', u'7', u'8', u'13', u'12', u'14', u'15'], u'time': [504, 1152, 1865, 2685, 3532, 4297, 5293, 6376, 8384, 9483]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12135, 187, 166]",42.0,,865066,13.0,12.0,mouselab-mdp,,3
