,pid,info_cost,PR_type,message,trial_index,trial_id,delays,score,n_click,clicks,click_times,path,action_times
74,4,1.25,featureBased,full,11,11.0,[],-12.75,7,"[13, 15, 12, 8, 3, 11, 6]","[869, 1677, 2741, 3657, 4190, 5620, 8840]","[1, 2, 4]","[10938, 11986, 12842]"
75,4,1.25,featureBased,full,12,9.0,[],0.75,9,"[9, 13, 5, 1, 10, 6, 2, 14, 15]","[1110, 2443, 3151, 3821, 5332, 6587, 10801, 11879, 13351]","[1, 14, 15]","[18970, 19626, 20409]"
76,4,1.25,featureBased,full,13,4.0,[],15.5,10,"[14, 2, 10, 6, 12, 11, 3, 4, 8, 7]","[2074, 2828, 3640, 4524, 5678, 6434, 8768, 9306, 10216, 10931]","[1, 6, 7]","[14419, 15379, 16131]"
77,4,1.25,featureBased,full,14,1.0,[],28.5,6,"[10, 2, 14, 6, 7, 8]","[2599, 3236, 3969, 4739, 7159, 7898]","[1, 6, 8]","[9352, 10112, 10856]"
78,4,1.25,featureBased,full,15,6.0,[],0.75,9,"[14, 16, 15, 10, 6, 2, 3, 8, 7]","[1468, 3656, 4342, 5928, 6821, 7637, 10058, 10858, 11689]","[1, 6, 7]","[13433, 14433, 15273]"
79,4,1.25,featureBased,full,16,13.0,[],5.75,5,"[6, 10, 14, 2, 11]","[52170, 53597, 54306, 55031, 55941]","[1, 10, 11]","[58050, 58770, 59555]"
80,5,1.25,none,simple,1,0.0,[15],-28.0,0,[],[],"[1, 6, 8]","[2364, 20576, 24162]"
81,5,1.25,none,simple,2,15.0,[15],31.0,4,"[13, 9, 5, 1]","[3599, 5521, 7332, 8261]","[1, 10, 12]","[12894, 30238, 35175]"
82,5,1.25,none,simple,3,6.0,[15],12.0,0,[],[],"[1, 14, 16]","[8616, 36436, 39402]"
83,5,1.25,none,simple,4,11.0,[15],-4.0,0,[],[],"[1, 2, 4]","[7299, 27151, 42197]"
84,5,1.25,none,simple,5,1.0,[15],28.0,0,[],[],"[1, 6, 7]","[8320, 35495, 43859]"
85,5,1.25,none,simple,6,2.0,[15],18.75,1,[9],[5715],"[1, 10, 11]","[7928, 44568, 47173]"
86,5,1.25,none,simple,7,13.0,[15],-28.0,0,[],[],"[1, 14, 15]","[3134, 20361, 23020]"
87,5,1.25,none,simple,8,14.0,[15],12.0,0,[],[],"[1, 2, 3]","[2973, 23659, 39457]"
88,5,1.25,none,simple,9,9.0,[15],-12.0,0,[],[],"[1, 10, 11]","[81610, 124543, 127404]"
89,5,1.25,none,simple,10,4.0,[15],-3.5,6,"[9, 13, 1, 5, 14, 6]","[3966, 4749, 5539, 6156, 10336, 11326]","[1, 6, 8]","[12566, 102436, 108481]"
90,5,1.25,none,simple,11,7.0,[],15.0,4,"[9, 13, 1, 5]","[4553, 5463, 6125, 6755]","[1, 2, 4]","[8846, 9956, 13759]"
91,5,1.25,none,simple,12,3.0,[],-9.0,4,"[9, 13, 1, 5]","[1716, 2501, 3263, 3897]","[1, 10, 11]","[8770, 11850, 12980]"
92,5,1.25,none,simple,13,5.0,[],7.0,4,"[9, 13, 1, 5]","[1722, 2432, 3002, 3593]","[1, 2, 4]","[5343, 6368, 9046]"
93,5,1.25,none,simple,14,8.0,[],15.0,4,"[9, 13, 1, 5]","[2413, 3028, 4019, 5264]","[1, 10, 11]","[7694, 8880, 10178]"
94,5,1.25,none,simple,15,10.0,[],23.0,4,"[9, 13, 1, 5]","[2394, 3069, 3634, 4931]","[1, 10, 12]","[7280, 8523, 10074]"
95,5,1.25,none,simple,16,12.0,[],31.0,4,"[9, 13, 1, 5]","[2224, 2852, 3481, 4628]","[1, 10, 11]","[6080, 7131, 8731]"
96,6,1.25,featureBased,full,1,9.0,[16],-12.0,0,[],[],"[1, 10, 11]","[5980, 32286, 34304]"
97,6,1.25,featureBased,full,2,5.0,[12],25.5,2,"[5, 9]","[4477, 6556]","[1, 10, 12]","[8996, 28700, 30613]"
98,6,1.25,featureBased,full,3,13.0,[6],39.0,4,"[9, 5, 1, 2]","[2413, 3636, 4609, 6546]","[1, 2, 4]","[8431, 15625, 18463]"
99,6,1.25,featureBased,full,4,15.0,[6],28.5,6,"[13, 9, 1, 5, 6, 10]","[1902, 3348, 5184, 5935, 8100, 9089]","[1, 10, 12]","[10785, 17906, 19264]"
100,6,1.25,featureBased,full,5,10.0,[13],19.25,7,"[9, 10, 5, 13, 14, 1, 2]","[3265, 5167, 6262, 7330, 8175, 9145, 9795]","[1, 10, 12]","[11600, 25676, 27337]"
101,6,1.25,featureBased,full,6,14.0,[7],24.25,3,"[13, 5, 6]","[4867, 5980, 7450]","[1, 6, 8]","[11614, 19878, 20876]"
102,6,1.25,featureBased,full,7,11.0,[10],-17.75,11,"[5, 9, 13, 1, 3, 8, 15, 16, 7, 11, 12]","[2458, 3778, 4694, 5879, 7354, 9369, 10881, 12337, 13532, 16278, 17811]","[1, 6, 7]","[21277, 32684, 34124]"
103,6,1.25,featureBased,full,8,0.0,[12],-14.75,15,"[13, 9, 5, 1, 14, 10, 6, 2, 16, 11, 7, 8, 3, 4, 15]","[2539, 3464, 4248, 5570, 7081, 8140, 9029, 10130, 11682, 12810, 15358, 16362, 17440, 18193, 18944]","[1, 10, 12]","[27142, 40170, 41366]"
104,6,1.25,featureBased,full,9,6.0,[10],19.25,7,"[9, 5, 1, 13, 2, 10, 12]","[2481, 3425, 4274, 5054, 6442, 7532, 9825]","[1, 10, 12]","[11801, 24266, 25868]"
105,6,1.25,featureBased,full,10,12.0,[0],15.0,4,"[1, 2, 4, 3]","[3268, 5100, 6440, 8705]","[1, 2, 4]","[11392, 15443, 16850]"
106,6,1.25,featureBased,full,11,1.0,[],-1.0,4,"[9, 10, 11, 12]","[2104, 5109, 8558, 10957]","[1, 10, 12]","[19211, 20291, 64527]"
107,6,1.25,featureBased,full,12,8.0,[],11.25,7,"[1, 13, 9, 5, 10, 11, 12]","[2334, 3235, 3981, 4784, 5639, 6449, 7975]","[1, 10, 11]","[9418, 10373, 11109]"
108,6,1.25,featureBased,full,13,3.0,[],-19.0,12,"[13, 1, 5, 9, 10, 12, 11, 14, 6, 2, 4, 3]","[2373, 3558, 4782, 6142, 8088, 9631, 10796, 14197, 16058, 17484, 23313, 24440]","[1, 10, 11]","[29948, 31584, 32436]"
109,6,1.25,featureBased,full,14,7.0,[],23.0,4,"[9, 13, 14, 16]","[3148, 4990, 6426, 7755]","[1, 14, 16]","[8964, 9937, 10749]"
110,6,1.25,featureBased,full,15,4.0,[],7.0,4,"[13, 14, 16, 15]","[1599, 2408, 3864, 8508]","[1, 14, 16]","[10020, 10914, 11753]"
111,6,1.25,featureBased,full,16,2.0,[],13.75,5,"[13, 5, 6, 7, 8]","[3936, 6357, 8391, 9519, 10579]","[1, 6, 8]","[11563, 12452, 13216]"
112,7,1.25,none,simple,1,2.0,[15],36.0,0,[],[],"[1, 10, 12]","[5162, 27651, 39581]"
113,7,1.25,none,simple,2,7.0,[15],20.0,0,[],[],"[1, 14, 15]","[4150, 23150, 29377]"
114,7,1.25,none,simple,3,4.0,[15],-12.0,0,[],[],"[1, 2, 4]","[6355, 23717, 26250]"
115,7,1.25,none,simple,4,1.0,[15],4.0,0,[],[],"[1, 10, 12]","[8517, 26198, 34327]"
116,7,1.25,none,simple,5,9.0,[15],-28.0,0,[],[],"[1, 6, 7]","[3270, 19685, 26199]"
117,7,1.25,none,simple,6,13.0,[15],12.0,0,[],[],"[1, 10, 11]","[1655, 19074, 24252]"
118,7,1.25,none,simple,7,15.0,[15],36.0,0,[],[],"[1, 10, 12]","[5671, 22002, 36233]"
119,7,1.25,none,simple,8,6.0,[15],12.0,0,[],[],"[1, 14, 16]","[6481, 22971, 34656]"
120,7,1.25,none,simple,9,12.0,[15],20.0,0,[],[],"[1, 2, 3]","[5070, 21632, 32130]"
121,7,1.25,none,simple,10,3.0,[15],-20.0,0,[],[],"[1, 14, 16]","[14959, 32883, 40837]"
122,7,1.25,none,simple,11,8.0,[],-20.0,0,[],[],"[1, 6, 8]","[6401, 12238, 16915]"
123,7,1.25,none,simple,12,11.0,[],-4.0,0,[],[],"[1, 10, 11]","[2062, 3370, 5198]"
124,7,1.25,none,simple,13,14.0,[],-20.0,0,[],[],"[1, 14, 15]","[2515, 7287, 8385]"
125,7,1.25,none,simple,14,10.0,[],28.0,0,[],[],"[1, 10, 12]","[752, 2033, 4161]"
126,7,1.25,none,simple,15,5.0,[],20.0,0,[],[],"[1, 2, 3]","[2686, 4175, 6229]"
127,7,1.25,none,simple,16,0.0,[],-4.0,0,[],[],"[1, 10, 11]","[3866, 4969, 7534]"
128,8,1.25,none,full,1,11.0,[15],0.75,9,"[13, 9, 5, 1, 6, 14, 16, 15, 2]","[10923, 15212, 16782, 18311, 20681, 22334, 25207, 27180, 29447]","[1, 14, 15]","[38721, 59173, 64637]"
129,8,1.25,none,full,2,13.0,[15],35.25,7,"[9, 5, 1, 13, 2, 4, 3]","[3651, 5572, 6946, 8188, 10427, 12034, 15891]","[1, 2, 4]","[18243, 35092, 36942]"
130,8,1.25,none,full,3,8.0,[15],7.5,10,"[9, 5, 1, 13, 10, 6, 2, 14, 12, 11]","[4673, 6024, 7197, 8517, 10658, 12379, 13668, 15415, 25663, 28790]","[1, 10, 11]","[32231, 48881, 50795]"
131,8,1.25,none,full,4,5.0,[15],7.5,10,"[9, 5, 1, 13, 14, 6, 10, 2, 4, 3]","[3575, 4903, 5997, 7086, 10486, 11845, 13479, 15483, 19069, 20560]","[1, 2, 3]","[23664, 41054, 42309]"
132,8,1.25,none,full,5,1.0,[15],22.25,11,"[9, 13, 1, 5, 6, 10, 7, 8, 12, 11, 2]","[2757, 4182, 5358, 6738, 8967, 10278, 14294, 15614, 19828, 22070, 30468]","[1, 6, 8]","[33228, 50886, 58247]"
133,8,1.25,none,full,6,6.0,[15],10.5,14,"[1, 13, 9, 5, 10, 14, 2, 6, 11, 15, 16, 4, 3, 12]","[2559, 3864, 5115, 6504, 10196, 11324, 12916, 14223, 22422, 24454, 25623, 27715, 28804, 35721]","[1, 10, 12]","[40264, 57384, 58468]"
134,8,1.25,none,full,7,3.0,[15],-21.5,14,"[9, 13, 1, 5, 10, 2, 4, 3, 12, 6, 14, 16, 8, 11]","[3235, 4759, 5902, 7124, 12354, 17009, 18982, 21635, 27915, 30907, 32406, 33661, 38530, 48232]","[1, 10, 11]","[49736, 65903, 67834]"
135,8,1.25,none,full,8,4.0,[15],18.0,8,"[9, 13, 1, 5, 14, 6, 7, 8]","[2133, 3415, 4639, 5833, 7320, 8392, 10632, 12224]","[1, 6, 7]","[14233, 30436, 32102]"
136,8,1.25,none,full,9,12.0,[15],26.0,8,"[9, 13, 1, 5, 10, 2, 12, 11]","[4333, 5656, 6758, 7993, 9867, 11892, 13681, 15192]","[1, 10, 11]","[18322, 34867, 36478]"
137,8,1.25,none,full,10,10.0,[15],16.75,9,"[9, 5, 1, 13, 10, 14, 2, 11, 12]","[25661, 27375, 28880, 30384, 32701, 34043, 36893, 40705, 42064]","[1, 10, 12]","[44868, 105383, 106936]"
138,8,1.25,none,full,11,15.0,[],27.25,7,"[9, 5, 1, 13, 10, 6, 12]","[4524, 6226, 7498, 8809, 10458, 12139, 14161]","[1, 10, 12]","[16357, 19096, 20769]"
139,8,1.25,none,full,12,7.0,[],15.5,10,"[9, 5, 1, 13, 14, 2, 4, 16, 15, 3]","[3472, 4805, 5894, 7200, 8860, 10209, 12394, 14208, 16431, 18418]","[1, 14, 16]","[21024, 22084, 23769]"
140,8,1.25,none,full,13,14.0,[],18.0,8,"[9, 5, 1, 13, 10, 6, 7, 8]","[221499, 223952, 225121, 226344, 227837, 229501, 230804, 231824]","[1, 6, 8]","[232976, 234165, 235816]"
