PR_type,bonus,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,start_time,version
objectLevel,0.525,True,8,True,after_each_move,2.5,full,48,2017-06-28T20:38:09.805Z,1A.0
objectLevel,0.9500000000000001,True,7,True,after_each_move,1.0,full,49,2017-06-28T23:55:37.057Z,1A.0
featureBased,2.092,True,3,True,after_each_move,0.01,full,50,2017-06-28T21:50:38.313Z,1A.0
objectLevel,1.8,True,7,True,after_each_move,1.0,full,51,2017-06-28T20:18:18.059Z,1A.0
featureBased,1.8,True,4,True,after_each_move,1.0,full,52,2017-06-28T22:54:56.689Z,1A.0
none,0.0,True,2,False,after_each_move,2.5,none,53,2017-06-28T22:47:46.600Z,1A.0
objectLevel,0.0,False,7,True,after_each_move,1.0,full,54,2017-06-28T22:36:01.554Z,1A.0
objectLevel,0.30000000000000004,True,7,True,after_each_move,1.0,full,55,2017-06-28T23:02:38.020Z,1A.0
objectLevel,0.0,False,7,True,after_each_move,1.0,full,56,2017-06-29T00:12:59.970Z,1A.0
none,1.9945000000000002,True,0,False,after_each_move,0.01,none,57,2017-06-28T20:04:38.662Z,1A.0
objectLevel,0.15000000000000002,True,8,True,after_each_move,2.5,full,58,2017-06-28T23:02:54.966Z,1A.0
featureBased,1.225,True,5,True,after_each_move,2.5,full,59,2017-06-28T21:22:26.318Z,1A.0
featureBased,2.0500000000000003,True,4,True,after_each_move,1.0,full,60,2017-06-28T23:34:17.634Z,1A.0
objectLevel,2.2,True,7,True,after_each_move,1.0,full,61,2017-06-28T22:30:21.362Z,1A.0
featureBased,0.0,True,4,True,after_each_move,1.0,full,62,2017-06-28T20:33:25.780Z,1A.0
objectLevel,0.4,True,7,True,after_each_move,1.0,full,63,2017-06-28T22:03:07.400Z,1A.0
featureBased,2.45,True,4,True,after_each_move,1.0,full,64,2017-06-28T23:44:55.278Z,1A.0
none,1.725,True,2,False,after_each_move,2.5,none,65,2017-06-28T21:27:47.917Z,1A.0
objectLevel,0.15000000000000002,True,7,True,after_each_move,1.0,full,66,2017-06-28T20:49:45.363Z,1A.0
objectLevel,0.55,True,6,True,after_each_move,0.01,full,67,2017-06-28T21:25:22.483Z,1A.0
none,2.2935,True,0,False,after_each_move,0.01,none,68,2017-06-28T20:39:02.492Z,1A.0
objectLevel,2.0420000000000003,True,6,True,after_each_move,0.01,full,69,2017-06-28T20:54:46.289Z,1A.0
objectLevel,1.3,True,7,True,after_each_move,1.0,full,70,2017-06-28T20:41:37.158Z,1A.0
featureBased,0.0,False,4,True,after_each_move,1.0,full,71,2017-06-28T21:26:15.601Z,1A.0
objectLevel,1.8465,True,6,True,after_each_move,0.01,full,72,2017-06-28T22:19:17.040Z,1A.0
objectLevel,0.0,True,8,True,after_each_move,2.5,full,73,2017-06-28T22:37:31.487Z,1A.0
featureBased,0.0,False,3,True,after_each_move,0.01,full,74,2017-06-28T20:45:35.877Z,1A.0
featureBased,0.0,False,5,True,after_each_move,2.5,full,75,2017-06-28T20:22:09.843Z,1A.0
none,0.7000000000000001,True,2,False,after_each_move,2.5,none,76,2017-06-29T00:26:40.729Z,1A.0
featureBased,2.7,True,4,True,after_each_move,1.0,full,77,2017-06-28T21:00:03.908Z,1A.0
none,2.048,True,0,False,after_each_move,0.01,none,78,2017-06-28T21:08:20.243Z,1A.0
objectLevel,0.8500000000000001,True,6,True,after_each_move,0.01,full,79,2017-06-28T21:05:01.552Z,1A.0
featureBased,0.0,False,4,True,after_each_move,1.0,full,80,2017-06-28T22:32:31.232Z,1A.0
objectLevel,0.148,True,6,True,after_each_move,0.01,full,81,2017-06-29T00:30:28.382Z,1A.0
featureBased,0.6000000000000001,True,5,True,after_each_move,2.5,full,82,2017-06-28T20:57:56.504Z,1A.0
featureBased,1.125,True,5,True,after_each_move,2.5,full,83,2017-06-28T21:43:51.900Z,1A.0
none,0.0,False,0,False,after_each_move,0.01,none,84,2017-06-28T22:49:12.898Z,1A.0
none,1.4000000000000001,True,1,False,after_each_move,1.0,none,85,2017-06-28T22:48:33.223Z,1A.0
featureBased,1.4500000000000002,True,4,True,after_each_move,1.0,full,86,2017-06-28T21:40:47.622Z,1A.0
objectLevel,1.1,True,8,True,after_each_move,2.5,full,87,2017-06-28T23:01:21.737Z,1A.0
featureBased,0.05,True,5,True,after_each_move,2.5,full,88,2017-06-28T20:44:48.507Z,1A.0
none,0.0,True,1,False,after_each_move,1.0,none,89,2017-06-28T21:01:44.768Z,1A.0
featureBased,1.4500000000000002,True,4,True,after_each_move,1.0,full,90,2017-06-28T20:25:04.743Z,1A.0
none,2.2920000000000003,True,0,False,after_each_move,0.01,none,91,2017-06-28T20:24:10.954Z,1A.0
objectLevel,2.35,True,7,True,after_each_move,1.0,full,92,2017-06-28T23:22:55.443Z,1A.0
featureBased,1.845,True,3,True,after_each_move,0.01,full,93,2017-06-28T23:06:19.396Z,1A.0
none,0.9500000000000001,True,0,False,after_each_move,0.01,none,94,2017-06-28T21:04:14.590Z,1A.0
featureBased,0.642,True,3,True,after_each_move,0.01,full,95,2017-06-28T21:43:03.995Z,1A.0
featureBased,1.1,True,4,True,after_each_move,1.0,full,96,2017-06-28T21:27:40.449Z,1A.0
none,0.9500000000000001,True,1,False,after_each_move,1.0,none,97,2017-06-28T21:23:53.275Z,1A.0
