action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[354, 1677, 2441]","[u'up', u'up', u'left']",,,"[-1, -1, -1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[354, 341, 2]",19.0,,1052951,7.0,2.0,mouselab-mdp,,2
"[2018, 3163, 5911]","[u'left', u'left', u'down']",,,"[-1, -1, -1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2018, 150, 1988]",16.0,,1494847,8.0,1.0,mouselab-mdp,,2
"[1192, 2729, 4191]","[u'up', u'up', u'left']",,,"[-1, -1, 5]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1192, 551, 707]",5.0,,1828402,9.0,0.0,mouselab-mdp,,2
"[2129, 837489, 838278]","[u'right', u'right', u'up']",,,"[22, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2128, 812300, 3]",4.0,,2670459,10.0,11.0,mouselab-mdp,,2
"[922, 17448, 18228]","[u'down', u'down', u'left']",,,"[11, -1, -1]","[u'1', 5, 9, 16]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[922, 4522, 2]",22.0,,2747753,11.0,8.0,mouselab-mdp,,2
"[2, 72212, 73006]","[u'left', u'left', u'down']",,,"[29, -1, 5]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2, 42198, 2]",8.0,,2830545,12.0,5.0,mouselab-mdp,,2
"[9059, 15073, 19002]","[u'up', u'up', u'right']",,,"[3, 0, 1]","[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3'], u'time': [5940]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9058, 1579, 3209]",26.0,,441972,1.0,10.0,mouselab-mdp,,3
"[10962, 18601, 22864]","[u'up', u'up', u'left']",,,"[3, 0, 1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'5', u'2', u'3'], u'time': [2385, 3674, 5847, 7778]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10962, 2802, 3485]",30.0,,495381,2.0,7.0,mouselab-mdp,,3
"[11210, 17209, 24291]","[u'down', u'down', u'right']",,,"[3, 0, 1]","[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'5', u'2', u'3'], u'time': [2781, 4814, 6583, 8069]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11210, 1196, 6353]",6.0,,551365,3.0,1.0,mouselab-mdp,,3
"[8920, 14976, 29095]","[u'left', u'left', u'down']",,,"[3, 0, 1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'14', u'15'], u'time': [1868, 3089, 4300, 5926, 23808, 25632]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8920, 1309, 13394]",-10.0,,608236,4.0,5.0,mouselab-mdp,,3
