p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,,5490,,418322,,,instructions,"[{""page_index"":0,""viewing_time"":3010},{""page_index"":1,""viewing_time"":1303},{""page_index"":2,""viewing_time"":1176}]",33
,,,,,,,,,,,,,,3552,,440896,,,instructions,"[{""page_index"":0,""viewing_time"":2253},{""page_index"":1,""viewing_time"":842},{""page_index"":2,""viewing_time"":456}]",33
,,,,,,,,,,,,,,162201,,162201,,,instructions,"[{""page_index"":0,""viewing_time"":73737},{""page_index"":1,""viewing_time"":60418},{""page_index"":2,""viewing_time"":28044}]",34
,,,,,,,,,,,,,,183179,,183181,,,instructions,"[{""page_index"":0,""viewing_time"":29170},{""page_index"":1,""viewing_time"":32869},{""page_index"":2,""viewing_time"":121137}]",35
,,,,,,,,,,,,,,68358,,68363,,,instructions,"[{""page_index"":0,""viewing_time"":27362},{""page_index"":1,""viewing_time"":26625},{""page_index"":2,""viewing_time"":14367}]",36
,,,,,,,,,,,,,,112463,,112466,,,instructions,"[{""page_index"":0,""viewing_time"":34070},{""page_index"":1,""viewing_time"":56687},{""page_index"":2,""viewing_time"":21703}]",37
,,,,,,,,,,,,,,200636,,200638,,,instructions,"[{""page_index"":0,""viewing_time"":123205},{""page_index"":1,""viewing_time"":35751},{""page_index"":2,""viewing_time"":41678}]",38
,,,,,,,,,,,,,,118669,,118671,,,instructions,"[{""page_index"":0,""viewing_time"":58741},{""page_index"":1,""viewing_time"":41574},{""page_index"":2,""viewing_time"":18353}]",39
,,,,,,,,,,,,,,26641,,181458,,,instructions,"[{""page_index"":0,""viewing_time"":17665},{""page_index"":1,""viewing_time"":7839},{""page_index"":2,""viewing_time"":1136}]",39
,,,,,,,,,,,,,,94143,,94145,,,instructions,"[{""page_index"":0,""viewing_time"":40016},{""page_index"":1,""viewing_time"":32899},{""page_index"":2,""viewing_time"":21226}]",40
,,,,,,,,,,,,,,113225,,113226,,,instructions,"[{""page_index"":0,""viewing_time"":47977},{""page_index"":1,""viewing_time"":49713},{""page_index"":2,""viewing_time"":15535}]",41
,,,,,,,,,,,,,,218314,,218316,,,instructions,"[{""page_index"":0,""viewing_time"":149601},{""page_index"":1,""viewing_time"":53488},{""page_index"":2,""viewing_time"":15224}]",42
,,,,,,,,,,,,,,81388,,81389,,,instructions,"[{""page_index"":0,""viewing_time"":37659},{""page_index"":1,""viewing_time"":29985},{""page_index"":2,""viewing_time"":13743}]",43
,,,,,,,,,,,,,,40009,,40009,,,instructions,"[{""page_index"":0,""viewing_time"":16575},{""page_index"":1,""viewing_time"":8784},{""page_index"":2,""viewing_time"":14649}]",44
,,,,,,,,,,,,,,145515,,203503,,,instructions,"[{""page_index"":0,""viewing_time"":15527},{""page_index"":1,""viewing_time"":8633},{""page_index"":2,""viewing_time"":121354}]",44
,,,,,,,,,,,,,,164812,,164815,,,instructions,"[{""page_index"":0,""viewing_time"":65805},{""page_index"":1,""viewing_time"":3340},{""page_index"":0,""viewing_time"":4827},{""page_index"":1,""viewing_time"":49697},{""page_index"":2,""viewing_time"":41140}]",45
,,,,,,,,,,,,,,99652,,99654,,,instructions,"[{""page_index"":0,""viewing_time"":43376},{""page_index"":1,""viewing_time"":29712},{""page_index"":2,""viewing_time"":26561}]",46
,,,,,,,,,,,,,,49615,,49616,,,instructions,"[{""page_index"":0,""viewing_time"":18717},{""page_index"":1,""viewing_time"":16967},{""page_index"":2,""viewing_time"":13928}]",47
,,,,,,,,,,,,,,102210,,102212,,,instructions,"[{""page_index"":0,""viewing_time"":25581},{""page_index"":1,""viewing_time"":24566},{""page_index"":0,""viewing_time"":10889},{""page_index"":1,""viewing_time"":14312},{""page_index"":0,""viewing_time"":3906},{""page_index"":1,""viewing_time"":5376},{""page_index"":2,""viewing_time"":17579}]",48
,,,,,,,,,,,,,,585230,,585230,,,instructions,"[{""page_index"":0,""viewing_time"":314974},{""page_index"":1,""viewing_time"":174445},{""page_index"":2,""viewing_time"":95810}]",49
,,,,,,,,,,,,,,106527,,106529,,,instructions,"[{""page_index"":0,""viewing_time"":43861},{""page_index"":1,""viewing_time"":24965},{""page_index"":2,""viewing_time"":37698}]",50
,,,,,,,,,,,,,,146225,,146228,,,instructions,"[{""page_index"":0,""viewing_time"":56284},{""page_index"":1,""viewing_time"":62769},{""page_index"":2,""viewing_time"":27169}]",51
,,,,,,,,,,,,,,49094,,49095,,,instructions,"[{""page_index"":0,""viewing_time"":4909},{""page_index"":1,""viewing_time"":27551},{""page_index"":2,""viewing_time"":16632}]",52
,,,,,,,,,,,,,,44431,,119506,,,instructions,"[{""page_index"":0,""viewing_time"":13287},{""page_index"":1,""viewing_time"":12168},{""page_index"":2,""viewing_time"":8632},{""page_index"":1,""viewing_time"":8887},{""page_index"":2,""viewing_time"":1455}]",52
,,,,,,,,,,,,,,30104,,169264,,,instructions,"[{""page_index"":0,""viewing_time"":20615},{""page_index"":1,""viewing_time"":8592},{""page_index"":2,""viewing_time"":896}]",52
,,,,,,,,,,,,,,101767,,101777,,,instructions,"[{""page_index"":0,""viewing_time"":39398},{""page_index"":1,""viewing_time"":47897},{""page_index"":2,""viewing_time"":14472}]",53
,,,,,,,,,,,,,,134601,,134602,,,instructions,"[{""page_index"":0,""viewing_time"":56372},{""page_index"":1,""viewing_time"":45507},{""page_index"":2,""viewing_time"":32720}]",54
,,,,,,,,,,,,,,248339,,248340,,,instructions,"[{""page_index"":0,""viewing_time"":216558},{""page_index"":1,""viewing_time"":17577},{""page_index"":2,""viewing_time"":14203}]",55
,,,,,,,,,,,,,,105493,,105493,,,instructions,"[{""page_index"":0,""viewing_time"":56548},{""page_index"":1,""viewing_time"":24455},{""page_index"":2,""viewing_time"":24489}]",56
,,,,,,,,,,,,,,50097,,50097,,,instructions,"[{""page_index"":0,""viewing_time"":20628},{""page_index"":1,""viewing_time"":12820},{""page_index"":2,""viewing_time"":16648}]",57
,,,,,,,,,,,,,,213281,,213282,,,instructions,"[{""page_index"":0,""viewing_time"":95560},{""page_index"":1,""viewing_time"":83774},{""page_index"":2,""viewing_time"":33946}]",58
,,,,,,,,,,,,,,158335,,158336,,,instructions,"[{""page_index"":0,""viewing_time"":74608},{""page_index"":1,""viewing_time"":50947},{""page_index"":2,""viewing_time"":32777}]",59
,,,,,,,,,,,,,,126814,,126818,,,instructions,"[{""page_index"":0,""viewing_time"":23174},{""page_index"":1,""viewing_time"":81651},{""page_index"":2,""viewing_time"":21984}]",60
,,,,,,,,,,,,,,17956,,361560,,,instructions,"[{""page_index"":0,""viewing_time"":4416},{""page_index"":1,""viewing_time"":2698},{""page_index"":2,""viewing_time"":10839}]",60
,,,,,,,,,,,,,,38245,,478635,,,instructions,"[{""page_index"":0,""viewing_time"":15619},{""page_index"":1,""viewing_time"":21647},{""page_index"":2,""viewing_time"":975}]",60
,,,,,,,,,,,,,,11377,,507454,,,instructions,"[{""page_index"":0,""viewing_time"":8952},{""page_index"":1,""viewing_time"":1161},{""page_index"":2,""viewing_time"":1259}]",60
,,,,,,,,,,,,,,5697,,535575,,,instructions,"[{""page_index"":0,""viewing_time"":3227},{""page_index"":1,""viewing_time"":1614},{""page_index"":2,""viewing_time"":855}]",60
,,,,,,,,,,,,,,46147,,652509,,,instructions,"[{""page_index"":0,""viewing_time"":26643},{""page_index"":1,""viewing_time"":1042},{""page_index"":2,""viewing_time"":1231},{""page_index"":1,""viewing_time"":14029},{""page_index"":2,""viewing_time"":3200}]",60
,,,,,,,,,,,,,,51543,,729023,,,instructions,"[{""page_index"":0,""viewing_time"":49314},{""page_index"":1,""viewing_time"":967},{""page_index"":2,""viewing_time"":1259}]",60
,,,,,,,,,,,,,,170813,,170814,,,instructions,"[{""page_index"":0,""viewing_time"":80963},{""page_index"":1,""viewing_time"":3949},{""page_index"":0,""viewing_time"":5279},{""page_index"":1,""viewing_time"":3563},{""page_index"":0,""viewing_time"":5179},{""page_index"":1,""viewing_time"":35479},{""page_index"":2,""viewing_time"":36400}]",61
,,,,,,,,,,,,,,13800,,13802,,,instructions,"[{""page_index"":0,""viewing_time"":5348},{""page_index"":1,""viewing_time"":4182},{""page_index"":2,""viewing_time"":4270}]",62
,,,,,,,,,,,,,,90010,,126242,,,instructions,"[{""page_index"":0,""viewing_time"":56315},{""page_index"":1,""viewing_time"":22963},{""page_index"":2,""viewing_time"":10731}]",62
,,,,,,,,,,,,,,6678,,167344,,,instructions,"[{""page_index"":0,""viewing_time"":4139},{""page_index"":1,""viewing_time"":1017},{""page_index"":2,""viewing_time"":1521}]",62
,,,,,,,,,,,,,,67646,,268491,,,instructions,"[{""page_index"":0,""viewing_time"":36343},{""page_index"":1,""viewing_time"":17832},{""page_index"":2,""viewing_time"":13471}]",62
,,,,,,,,,,,,,,276795,,276795,,,instructions,"[{""page_index"":0,""viewing_time"":87089},{""page_index"":1,""viewing_time"":153153},{""page_index"":2,""viewing_time"":36552}]",63
,,,,,,,,,,,,,,78162,,78164,,,instructions,"[{""page_index"":0,""viewing_time"":29466},{""page_index"":1,""viewing_time"":38041},{""page_index"":2,""viewing_time"":10653}]",64
,,,,,,,,,,,,,,122399,,122401,,,instructions,"[{""page_index"":0,""viewing_time"":53677},{""page_index"":1,""viewing_time"":46139},{""page_index"":2,""viewing_time"":22581}]",65
,,,,,,,,,,,,,,141425,,141426,,,instructions,"[{""page_index"":0,""viewing_time"":96978},{""page_index"":1,""viewing_time"":26673},{""page_index"":2,""viewing_time"":17773}]",66
,,,,,,,,,,,,,,108537,,280915,,,instructions,"[{""page_index"":0,""viewing_time"":20983},{""page_index"":1,""viewing_time"":84743},{""page_index"":2,""viewing_time"":2810}]",66
,,,,,,,,,,,,,,147668,,147670,,,instructions,"[{""page_index"":0,""viewing_time"":88552},{""page_index"":1,""viewing_time"":33154},{""page_index"":2,""viewing_time"":25961}]",67
,,,,,,,,,,,,,,229736,,229737,,,instructions,"[{""page_index"":0,""viewing_time"":103953},{""page_index"":1,""viewing_time"":69693},{""page_index"":2,""viewing_time"":56087}]",68
,,,,,,,,,,,,,,65910,,342596,,,instructions,"[{""page_index"":0,""viewing_time"":45862},{""page_index"":1,""viewing_time"":15131},{""page_index"":2,""viewing_time"":4915}]",68
,,,,,,,,,,,,,,147824,,147826,,,instructions,"[{""page_index"":0,""viewing_time"":59908},{""page_index"":1,""viewing_time"":62936},{""page_index"":2,""viewing_time"":24978}]",69
,,,,,,,,,,,,,,109519,,109520,,,instructions,"[{""page_index"":0,""viewing_time"":48751},{""page_index"":1,""viewing_time"":27088},{""page_index"":2,""viewing_time"":33680}]",70
