pid,temp,p_error,logp,satisfice,prune,model,trial_idx,k
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,21,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,21,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,21,2
312,1e-10,1.0,-2.5649493574615367,,,random,21,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,22,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,22,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,22,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,22,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,22,2
312,1e-10,1.0,-2.5649493574615367,,,random,22,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,23,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,23,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,23,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,23,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,23,2
312,1e-10,1.0,-2.5649493574615367,,,random,23,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,24,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,24,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,24,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,24,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,24,2
312,1e-10,1.0,-2.5649493574615367,,,random,24,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,25,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,25,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,25,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,25,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,25,2
312,1e-10,1.0,-2.5649493574615367,,,random,25,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,26,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,26,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,26,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,26,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,26,2
312,1e-10,1.0,-2.5649493574615367,,,random,26,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,27,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,27,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,27,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,27,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,27,2
312,1e-10,1.0,-2.5649493574615367,,,random,27,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,28,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,28,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,28,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,28,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,28,2
312,1e-10,1.0,-2.5649493574615367,,,random,28,0
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,depth_first,29,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,breadth_first,29,3
312,1e-10,1.0,-2.5649493574615367,5.0,-30.0,progressive_deepening,29,3
312,1e-05,1.0,-2.5649493574615367,5.0,-30.0,best_first,29,4
312,1e-05,1.0,-2.5649493574615367,,,optimal,29,2
312,1e-10,1.0,-2.5649493574615367,,,random,29,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,0,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,0,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,0,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,0,4
314,1e-05,1.0,-5.049856007249537,,,optimal,0,2
314,1e-10,1.0,-5.049856007249537,,,random,0,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,1,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,1,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,1,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,1,4
314,1e-05,1.0,-5.049856007249537,,,optimal,1,2
314,1e-10,1.0,-5.049856007249537,,,random,1,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,2,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,2,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,2,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,2,4
314,1e-05,1.0,-5.049856007249537,,,optimal,2,2
314,1e-10,1.0,-5.049856007249537,,,random,2,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,3,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,3,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,3,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,3,4
314,1e-05,1.0,-5.049856007249537,,,optimal,3,2
314,1e-10,1.0,-5.049856007249537,,,random,3,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,4,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,4,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,4,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,4,4
314,1e-05,1.0,-5.049856007249537,,,optimal,4,2
314,1e-10,1.0,-5.049856007249537,,,random,4,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,5,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,5,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,5,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,5,4
314,1e-05,1.0,-5.049856007249537,,,optimal,5,2
314,1e-10,1.0,-5.049856007249537,,,random,5,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,6,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,6,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,6,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,6,4
314,1e-05,1.0,-5.049856007249537,,,optimal,6,2
314,1e-10,1.0,-5.049856007249537,,,random,6,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,7,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,7,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,7,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,7,4
314,1e-05,1.0,-5.049856007249537,,,optimal,7,2
314,1e-10,1.0,-5.049856007249537,,,random,7,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,8,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,8,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,8,3
314,5.689866029018292,0.33,-7.501424713284795,5.0,-30.0,best_first,8,4
314,1e-05,1.0,-9.750336373041954,,,optimal,8,2
314,1e-10,1.0,-9.750336373041954,,,random,8,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,9,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,9,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,9,3
314,10.0,0.34,-7.589357113400402,5.0,-30.0,best_first,9,4
314,1e-05,1.0,-9.750336373041954,,,optimal,9,2
314,1e-10,1.0,-9.750336373041954,,,random,9,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,10,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,10,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,10,3
314,4.291934260128778,0.33,-7.351639443723331,5.0,-30.0,best_first,10,4
314,1e-05,1.0,-9.750336373041954,,,optimal,10,2
314,1e-10,1.0,-9.750336373041954,,,random,10,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,11,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,11,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,11,3
314,1e-05,0.3,-6.166817434585845,5.0,-30.0,best_first,11,4
314,1e-05,1.0,-9.750336373041954,,,optimal,11,2
314,1e-10,1.0,-9.750336373041954,,,random,11,0
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,depth_first,12,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,breadth_first,12,3
314,1e-10,0.65,-4.707449035108509,5.0,-30.0,progressive_deepening,12,3
314,1e-05,0.65,-4.707449035108509,5.0,-30.0,best_first,12,4
314,1e-05,1.0,-5.049856007249537,,,optimal,12,2
314,1e-10,1.0,-5.049856007249537,,,random,12,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,13,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,13,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,13,3
314,1e-05,0.3,-6.166817434585845,5.0,-30.0,best_first,13,4
314,1e-05,1.0,-9.750336373041954,,,optimal,13,2
314,1e-10,1.0,-9.750336373041954,,,random,13,0
314,1e-10,0.87,-7.366272680683515,5.0,-30.0,depth_first,14,3
314,1e-10,0.42,-5.8781358618009785,5.0,-30.0,breadth_first,14,3
314,1e-10,0.87,-7.366272680683515,5.0,-30.0,progressive_deepening,14,3
314,1e-05,0.42,-5.8781358618009785,5.0,-30.0,best_first,14,4
314,1e-05,1.0,-7.447751280047907,,,optimal,14,2
314,1e-10,1.0,-7.447751280047907,,,random,14,0
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,depth_first,15,3
314,1e-10,0.3,-6.166817434585845,5.0,-30.0,breadth_first,15,3
314,1e-10,0.97,-9.746403815691757,5.0,-30.0,progressive_deepening,15,3
314,10.0,0.34,-7.589357113400402,5.0,-30.0,best_first,15,4
314,1e-05,1.0,-9.750336373041954,,,optimal,15,2
