,action,pid,state,trial_id,trial_index
99,3,3,"(0, Cat, Cat, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, -24, Cat)",-2147483648,18
100,13,3,"(0, Cat, Cat, 48, -24, Cat, Cat, Cat, Cat, Cat, Cat, -24, Cat)",-2147483648,18
101,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,19
102,13,3,"(0, Cat, Cat, 48, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,19
103,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,20
104,4,3,"(0, Cat, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,20
105,11,3,"(0, Cat, Cat, -24, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,20
106,12,3,"(0, Cat, Cat, -24, 24, Cat, Cat, Cat, Cat, Cat, Cat, -48, Cat)",-2147483648,20
107,7,3,"(0, Cat, Cat, -24, 24, Cat, Cat, Cat, Cat, Cat, Cat, -48, -24)",-2147483648,20
108,13,3,"(0, Cat, Cat, -24, 24, Cat, Cat, -48, Cat, Cat, Cat, -48, -24)",-2147483648,20
109,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,21
110,13,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,21
111,4,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,22
112,3,3,"(0, Cat, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,22
113,7,3,"(0, Cat, Cat, -24, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,22
114,8,3,"(0, Cat, Cat, -24, 24, Cat, Cat, -24, Cat, Cat, Cat, Cat, Cat)",-2147483648,22
115,11,3,"(0, Cat, Cat, -24, 24, Cat, Cat, -24, -48, Cat, Cat, Cat, Cat)",-2147483648,22
116,13,3,"(0, Cat, Cat, -24, 24, Cat, Cat, -24, -48, Cat, Cat, 48, Cat)",-2147483648,22
117,11,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,23
118,13,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, 48, Cat)",-2147483648,23
119,4,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,24
120,3,3,"(0, Cat, Cat, Cat, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,24
121,7,3,"(0, Cat, Cat, 24, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,24
122,8,3,"(0, Cat, Cat, 24, -24, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat)",-2147483648,24
123,11,3,"(0, Cat, Cat, 24, -24, Cat, Cat, 24, -24, Cat, Cat, Cat, Cat)",-2147483648,24
124,12,3,"(0, Cat, Cat, 24, -24, Cat, Cat, 24, -24, Cat, Cat, 24, Cat)",-2147483648,24
125,13,3,"(0, Cat, Cat, 24, -24, Cat, Cat, 24, -24, Cat, Cat, 24, 48)",-2147483648,24
126,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,25
127,4,3,"(0, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,25
128,7,3,"(0, Cat, Cat, 24, -24, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,25
129,8,3,"(0, Cat, Cat, 24, -24, Cat, Cat, 24, Cat, Cat, Cat, Cat, Cat)",-2147483648,25
130,13,3,"(0, Cat, Cat, 24, -24, Cat, Cat, 24, 48, Cat, Cat, Cat, Cat)",-2147483648,25
131,7,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat, Cat)",-2147483648,26
132,8,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, -48, Cat, Cat, Cat, Cat, Cat)",-2147483648,26
133,3,3,"(0, Cat, Cat, Cat, Cat, Cat, Cat, -48, -48, Cat, Cat, Cat, Cat)",-2147483648,26
134,4,3,"(0, Cat, Cat, 24, Cat, Cat, Cat, -48, -48, Cat, Cat, Cat, Cat)",-2147483648,26
135,11,3,"(0, Cat, Cat, 24, -48, Cat, Cat, -48, -48, Cat, Cat, Cat, Cat)",-2147483648,26
