pid,temp,p_error,logp,satisfice,prune,model,trial_idx
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,12
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,12
174,1e-05,1.0,-2.5649493574615367,,,optimal,12
174,1e-10,1.0,-2.5649493574615367,,,random,12
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,13
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,13
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,13
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,13
174,1e-05,1.0,-2.5649493574615367,,,optimal,13
174,1e-10,1.0,-2.5649493574615367,,,random,13
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,14
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,14
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,14
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,14
174,1e-05,1.0,-2.5649493574615367,,,optimal,14
174,1e-10,1.0,-2.5649493574615367,,,random,14
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,15
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,15
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,15
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,15
174,1e-05,1.0,-2.5649493574615367,,,optimal,15
174,1e-10,1.0,-2.5649493574615367,,,random,15
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,16
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,16
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,16
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,16
174,1e-05,1.0,-2.5649493574615367,,,optimal,16
174,1e-10,1.0,-2.5649493574615367,,,random,16
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,17
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,17
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,17
174,1e-05,1.0,-2.5649493574615367,5,-30,best_first,17
174,1e-05,1.0,-2.5649493574615367,,,optimal,17
174,1e-10,1.0,-2.5649493574615367,,,random,17
174,1e-10,1.0,-2.5649493574615367,5,-30,depth_first,18
174,1e-10,1.0,-2.5649493574615367,5,-30,breadth_first,18
174,1e-10,1.0,-2.5649493574615367,5,-30,progressive_deepening,18
