PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
featureBased,3.58,0.01,True,3,24,4,True,after_each_move,0.25,full,171,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",357.75,"[5, 15, 6, 8, 3, 9]",True,1.6
none,1.52,0.01,True,2,24,4,False,after_each_move,4.0,none,172,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",152.0,"[5, 15, 4, 8, 7, 12]",True,1.6
objectLevel,0.84,0.01,True,7,24,4,True,after_each_move,1.0,full,173,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",84.0,"[14, 8, 0, 9, 3, 1]",True,1.6
featureBased,0.16,0.01,True,5,24,4,True,after_each_move,4.0,full,174,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",16.0,"[3, 0, 15, 4, 12, 14]",True,1.6
none,1.64,0.01,True,0,24,4,False,after_each_move,0.25,none,175,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",164.0,"[14, 7, 12, 5, 10, 9]",True,1.6
featureBased,1.62,0.01,True,4,24,4,True,after_each_move,1.0,full,176,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",162.0,"[14, 10, 11, 2, 0, 8]",True,1.6
featureBased,1.78,0.01,True,4,24,4,True,after_each_move,1.0,full,177,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",178.0,"[10, 3, 6, 9, 4, 14]",True,1.6
objectLevel,0.31,0.01,True,6,24,4,True,after_each_move,0.25,full,178,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",31.0,"[3, 6, 14, 11, 5, 9]",True,1.6
featureBased,3.62,0.01,True,3,24,4,True,after_each_move,0.25,full,179,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",362.25,"[15, 13, 11, 9, 12, 14]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,180,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-64.0,"[3, 1, 14, 5, 9, 2]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,181,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-28.0,"[4, 15, 11, 14, 8, 0]",True,1.6
objectLevel,1.64,0.01,True,8,24,4,True,after_each_move,4.0,full,182,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",164.0,"[1, 8, 9, 15, 6, 3]",True,1.6
objectLevel,0.64,0.01,True,6,24,4,True,after_each_move,0.25,full,183,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",64.0,"[2, 15, 9, 13, 0, 10]",True,1.6
none,2.74,0.01,True,0,24,4,False,after_each_move,0.25,none,184,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",273.5,"[11, 7, 6, 4, 5, 12]",True,1.6
objectLevel,1.85,0.01,True,7,24,4,True,after_each_move,1.0,full,185,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",185.0,"[0, 1, 4, 5, 6, 13]",True,1.6
none,1.58,0.01,True,1,24,4,False,after_each_move,1.0,none,186,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",158.0,"[2, 12, 14, 5, 7, 15]",True,1.6
objectLevel,0.05,0.01,True,7,24,4,True,after_each_move,1.0,full,187,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",5.0,"[1, 8, 6, 14, 7, 2]",True,1.6
