PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
featureBased,0.1,0.01,True,3,24,4,True,after_each_move,1.25,simple,57,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",9.75,"[14, 8, 5, 0, 7, 11]",True,2.3
none,0.08,0.01,True,1,24,4,False,after_each_move,1.25,simple,58,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",7.5,"[4, 9, 11, 6, 15, 7]",True,2.3
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,full,59,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,1.79,0.01,True,3,24,4,True,after_each_move,1.25,simple,60,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",179.0,"[7, 1, 8, 0, 6, 3]",True,2.3
none,0.19,0.01,True,0,24,4,False,after_each_move,1.25,full,61,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",18.75,"[3, 2, 13, 15, 4, 9]",True,2.3
featureBased,1.96,0.01,True,2,24,4,True,after_each_move,1.25,full,62,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",195.5,"[10, 5, 9, 4, 7, 3]",True,2.3
featureBased,0.0,0.01,True,2,24,4,True,after_each_move,1.25,full,63,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-3.0,"[12, 8, 2, 15, 3, 5]",True,2.3
none,1.7,0.01,True,0,24,4,False,after_each_move,1.25,full,64,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",169.5,"[15, 5, 7, 0, 2, 1]",True,2.3
none,0.0,0.01,True,0,24,4,False,after_each_move,1.25,full,65,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-32.0,"[6, 8, 12, 15, 11, 4]",True,2.3
featureBased,1.29,0.01,True,3,24,4,True,after_each_move,1.25,simple,66,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",128.75,"[5, 15, 0, 14, 9, 7]",True,2.3
featureBased,1.31,0.01,True,3,24,4,True,after_each_move,1.25,simple,67,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",131.0,"[3, 7, 5, 14, 6, 11]",True,2.3
none,0.0,0.01,False,0,24,4,False,after_each_move,1.25,full,68,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,1.92,0.01,True,2,24,4,True,after_each_move,1.25,full,69,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",191.5,"[8, 4, 13, 5, 2, 11]",True,2.3
featureBased,0.35,0.01,True,2,24,4,True,after_each_move,1.25,full,70,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",35.25,"[11, 3, 8, 15, 13, 0]",True,2.3
none,2.11,0.01,True,1,24,4,False,after_each_move,1.25,simple,71,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",210.75,"[14, 0, 13, 11, 7, 10]",True,2.3
none,2.23,0.01,True,0,24,4,False,after_each_move,1.25,full,72,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",222.75,"[3, 0, 7, 12, 5, 10]",True,2.3
featureBased,0.0,0.01,False,2,24,4,True,after_each_move,1.25,full,73,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,0.0,0.01,False,2,24,4,True,after_each_move,1.25,full,74,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",,,True,2.3
featureBased,2.14,0.01,True,2,24,4,True,after_each_move,1.25,full,75,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",213.75,"[6, 0, 5, 10, 1, 7]",True,2.3
featureBased,0.81,0.01,True,3,24,4,True,after_each_move,1.25,simple,76,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",81.0,"[6, 9, 0, 7, 5, 14]",True,2.3
featureBased,1.58,0.01,True,3,24,4,True,after_each_move,1.25,simple,77,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",157.5,"[11, 9, 5, 14, 6, 4]",True,2.3
featureBased,1.83,0.01,True,3,24,4,True,after_each_move,1.25,simple,78,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",182.5,"[5, 15, 11, 8, 7, 1]",True,2.3
featureBased,1.74,0.01,True,2,24,4,True,after_each_move,1.25,full,79,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",173.75,"[4, 10, 1, 9, 3, 0]",True,2.3
none,0.71,0.01,True,1,24,4,False,after_each_move,1.25,simple,80,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",71.25,"[5, 4, 10, 8, 3, 2]",True,2.3
featureBased,2.35,0.01,True,3,24,4,True,after_each_move,1.25,simple,81,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",235.0,"[5, 8, 6, 10, 13, 7]",True,2.3
featureBased,1.56,0.01,True,3,24,4,True,after_each_move,1.25,simple,82,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",156.25,"[1, 3, 15, 5, 14, 12]",True,2.3
none,1.72,0.01,True,0,24,4,False,after_each_move,1.25,full,83,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",172.0,"[6, 11, 9, 1, 13, 0]",True,2.3
none,2.03,0.01,True,1,24,4,False,after_each_move,1.25,simple,84,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",202.5,"[15, 12, 13, 9, 6, 3]",True,2.3
featureBased,0.0,0.01,True,2,24,4,True,after_each_move,1.25,full,85,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",-72.0,"[15, 14, 11, 13, 9, 5]",True,2.3
featureBased,1.35,0.01,True,3,24,4,True,after_each_move,1.25,simple,86,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",135.25,"[5, 9, 3, 1, 7, 11]",True,2.3
none,2.27,0.01,True,0,24,4,False,after_each_move,1.25,full,87,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",227.0,"[10, 12, 15, 2, 14, 4]",True,2.3
none,1.87,0.01,True,0,24,4,False,after_each_move,1.25,full,88,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",186.5,"[7, 15, 6, 11, 5, 12]",True,2.3
featureBased,2.02,0.01,True,2,24,4,True,after_each_move,1.25,full,89,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",201.75,"[2, 15, 8, 9, 0, 14]",True,2.3
none,1.72,0.01,True,0,24,4,False,after_each_move,1.25,full,90,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",171.75,"[14, 6, 11, 13, 2, 9]",True,2.3
