bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
0.0,0.002,312,True,0.0,1,98,Tue Feb 27 2018 17:36:45 GMT-0500 (EST),False,1A.5
1.64,0.002,312,True,1.0,1,99,Tue Feb 27 2018 14:01:15 GMT-0800 (Pacific Standard Time),True,1A.5
1.77,0.002,312,True,,1,100,Tue Feb 27 2018 12:46:38 GMT-0800 (Pacific Standard Time),,1A.5
1.82,0.002,312,True,0.0,1,101,Wed Feb 28 2018 01:39:09 GMT+0300 (E. Africa Standard Time),False,1A.5
1.55,0.002,312,True,0.0,1,102,Tue Feb 27 2018 18:47:10 GMT-0500 (Eastern Standard Time),False,1A.5
1.67,0.002,312,True,,1,103,Tue Feb 27 2018 15:36:12 GMT-0500 (Eastern Standard Time),,1A.5
1.65,0.002,312,True,0.0,1,104,Tue Feb 27 2018 14:38:35 GMT-0800 (Pacific Standard Time),False,1A.5
1.66,0.002,312,True,1.0,1,105,Wed Feb 28 2018 14:04:45 GMT-0500 (Eastern Standard Time),True,1A.5
1.15,0.002,312,True,,1,106,Tue Feb 27 2018 12:09:42 GMT-0800 (Pacific Standard Time),,1A.5
0.38,0.002,312,True,1.0,1,107,Tue Feb 27 2018 18:20:05 GMT-0800 (Pacific Standard Time),True,1A.5
0.0,0.002,312,True,0.0,1,108,Wed Feb 28 2018 09:20:25 GMT-0800 (Pacific Standard Time),False,1A.5
1.64,0.002,312,True,1.0,1,109,Wed Feb 28 2018 12:25:25 GMT-0500 (Eastern Standard Time),True,1A.5
1.59,0.002,312,True,1.0,1,110,Tue Feb 27 2018 16:32:42 GMT-0600 (CST),True,1A.5
1.51,0.002,312,True,1.0,1,111,Tue Feb 27 2018 18:28:25 GMT-0500 (Eastern Standard Time),True,1A.5
0.36,0.002,312,True,1.0,1,112,Tue Feb 27 2018 21:08:16 GMT-0600 (Central Standard Time),True,1A.5
1.62,0.002,312,True,1.0,1,113,Wed Feb 28 2018 12:21:31 GMT-0500 (Eastern Standard Time),True,1A.5
1.7,0.002,312,True,1.0,1,114,Wed Feb 28 2018 12:19:25 GMT-0500 (Eastern Standard Time),True,1A.5
1.78,0.002,312,True,1.0,1,115,Wed Feb 28 2018 12:21:11 GMT-0500 (EST),True,1A.5
0.13,0.002,312,True,0.0,1,116,Tue Feb 27 2018 19:14:27 GMT-0500 (Eastern Standard Time),False,1A.5
1.96,0.002,312,True,0.0,1,117,Wed Feb 28 2018 13:04:29 GMT-0600 (Central Standard Time),False,1A.5
0.72,0.002,312,True,0.0,1,118,Tue Feb 27 2018 21:06:51 GMT-0500 (Eastern Standard Time),False,1A.5
