action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[8972, 9720, 13349]","[u'left', u'left', u'up']",,,[],[],,"[u'1', 4, 8, 14]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'6', u'8', u'14', u'15'], u'time': [2320, 2999, 3952, 4768, 6129, 7072, 11128, 12081]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8972, 224, 3123]",20.0,,628419,15.0,7.0,mouselab-mdp,,1
"[14201, 14998, 15816]","[u'up', u'up', u'left']",,,[],[],,"[u'1', 3, 7, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'4', u'7', u'8', u'13', u'12'], u'time': [2364, 3117, 3852, 4739, 5892, 6715, 11517, 12315]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14201, 300, 322]",44.0,,678885,16.0,14.0,mouselab-mdp,,1
"[14383, 20472, 22746]","[u'up', u'up', u'left']",,,"[1, 0, 0]","[True, True, True]",,"[u'1', 3, 7, 12]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12', u'4', u'8', u'14', u'15', u'16', u'9', u'5', u'17', u'2', u'11', u'6', u'10'], u'time': [1725, 2680, 3173, 3682, 4158, 4646, 5006, 5655, 6274, 6629, 6933, 7353, 7763, 8173, 8506, 8855]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14383, 1469, 1766]",31.0,,163161,1.0,5.0,mouselab-mdp,,2
"[14745, 18876, 19946]","[u'up', u'up', u'right']",,,"[0, 0, 0]","[True, True, True]",,"[u'1', 3, 7, 13]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'5', u'2', u'3', u'9', u'8', u'15', u'7', u'13'], u'time': [2122, 2783, 3532, 4284, 7085, 8700, 9440, 10881, 11513]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14745, 2, 98]",31.0,,222200,2.0,1.0,mouselab-mdp,,2
"[7382, 10610, 11550]","[u'up', u'up', u'left']",,,"[0, 0, 0]","[True, True, True]",,"[u'1', 3, 7, 12]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'3', u'2', u'7', u'13', u'12'], u'time': [2425, 3034, 3566, 4037, 4708, 5250, 5790]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7382, 2, 122]",43.0,,294698,3.0,13.0,mouselab-mdp,,2
"[11898, 15489, 17035]","[u'up', u'up', u'right']",,,"[0, 0, 0]","[True, True, True]",,"[u'1', 3, 7, 13]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'3', u'4', u'6', u'8', u'7', u'13', u'12'], u'time': [3748, 4207, 4693, 5348, 6296, 7363, 8235, 9128, 9668]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11898, 3, 731]",46.0,,351776,4.0,4.0,mouselab-mdp,,2
"[8813, 12465, 13299]","[u'up', u'up', u'right']",,,"[0, 0, 0]","[True, True, True]",,"[u'1', 3, 7, 13]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'3', u'4', u'6', u'7', u'8', u'12', u'13'], u'time': [1928, 2476, 3046, 3459, 4185, 5312, 6055, 6786, 7321]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8813, 3, 2]",46.0,,408392,5.0,3.0,mouselab-mdp,,2
"[12634, 16310, 17156]","[u'down', u'down', u'right']",,,"[0, 0, 0]","[True, True, True]",,"[u'1', 5, 9, 17]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'5', u'4', u'8', u'7', u'9', u'16', u'17'], u'time': [1126, 1590, 2317, 2858, 6589, 7645, 8585, 9232, 9948]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12634, 2, 3]",42.0,,487056,6.0,9.0,mouselab-mdp,,2
"[8961, 12807, 13654]","[u'left', u'left', u'up']",,,"[0, 0, 0]","[True, True, True]",,"[u'1', 4, 8, 14]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'3', u'4', u'6', u'8', u'7', u'9', u'15', u'14'], u'time': [1591, 2012, 2730, 3172, 3796, 4557, 5349, 6197, 7114, 7627]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8961, 2, 1]",18.0,,536952,7.0,7.0,mouselab-mdp,,2
"[7525, 12324, 13396]","[u'up', u'up', u'right']",,,"[0, 0, 0]","[True, True, True]",,"[u'1', 3, 7, 13]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'3', u'4', u'6', u'7', u'8', u'13', u'12'], u'time': [1521, 2082, 2614, 3104, 3745, 4363, 4917, 5678, 6523]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7525, 1096, 295]",46.0,,597701,8.0,2.0,mouselab-mdp,,2
