,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
64,4,1,demonstration,full,1,10,[],47.0,6,"[2, 3, 4, 6, 11, 10]","[1013, 2007, 3009, 4012, 7007, 8006]","[1, 2, 6, 10]","[5001, 6001, 9001]"
65,4,1,demonstration,full,2,6,[],53.0,4,"[2, 3, 6, 11]","[1006, 2013, 3006, 6005]","[1, 2, 6, 11]","[4001, 5001, 7000]"
66,4,1,demonstration,full,3,3,[],49.0,6,"[2, 6, 3, 4, 7, 12]","[1008, 2005, 3005, 4004, 5005, 8006]","[1, 3, 7, 13]","[6001, 7001, 9001]"
67,4,1,demonstration,full,4,0,[],55.0,7,"[2, 3, 4, 7, 5, 8, 15]","[1005, 2004, 3005, 4005, 5004, 6005, 9005]","[1, 4, 8, 14]","[7002, 8001, 10001]"
68,4,1,demonstration,full,5,8,[],52.0,6,"[2, 3, 4, 5, 6, 11]","[1006, 2005, 3005, 4005, 5005, 8005]","[1, 2, 6, 11]","[6001, 7001, 9001]"
69,4,1,demonstration,full,6,12,[],47.0,5,"[2, 3, 4, 7, 12]","[1005, 2004, 3004, 4011, 7004]","[1, 3, 7, 12]","[5000, 6000, 8001]"
70,4,1,demonstration,full,7,13,[],47.0,3,"[2, 3, 12]","[1006, 2004, 5005]","[1, 3, 7, 12]","[3000, 4001, 6000]"
71,4,1,demonstration,full,8,5,[],41.0,6,"[2, 3, 6, 4, 7, 12]","[1005, 2005, 3004, 4005, 5004, 8005]","[1, 3, 7, 12]","[6000, 7001, 9000]"
72,4,1,demonstration,full,9,4,[],49.0,6,"[2, 6, 3, 4, 7, 12]","[1005, 2004, 3003, 4004, 5010, 8005]","[1, 3, 7, 13]","[6001, 7001, 9000]"
73,4,1,demonstration,full,10,14,[],47.0,5,"[2, 3, 4, 7, 12]","[1005, 2004, 3004, 4003, 7004]","[1, 3, 7, 12]","[5001, 6001, 8000]"
74,4,1,demonstration,full,11,1,[],32.0,8,"[2, 4, 3, 5, 9, 7, 12, 13]","[5955, 8227, 9584, 10714, 12521, 14058, 19607, 21000]","[1, 3, 7, 13]","[16298, 17923, 22446]"
75,4,1,demonstration,full,12,2,[],47.0,8,"[3, 2, 5, 4, 6, 7, 12, 13]","[1257, 2211, 3775, 4795, 6597, 8114, 12634, 13624]","[1, 3, 7, 13]","[10366, 11346, 14552]"
76,4,1,demonstration,full,13,15,[],42.0,7,"[3, 2, 4, 5, 7, 12, 13]","[1946, 3262, 4240, 5302, 6640, 11964, 13835]","[1, 3, 7, 12]","[9227, 9951, 15737]"
77,4,1,demonstration,full,14,9,[],43.0,8,"[3, 2, 5, 4, 8, 9, 17, 16]","[1333, 2222, 3224, 4120, 5279, 6821, 8960, 10033]","[1, 5, 9, 17]","[11801, 12566, 13417]"
78,4,1,demonstration,full,15,7,[],20.0,8,"[3, 2, 5, 4, 6, 8, 15, 14]","[2118, 2919, 3677, 4461, 6057, 7510, 9133, 10235]","[1, 4, 8, 14]","[11753, 12533, 13259]"
79,4,1,demonstration,full,16,11,[],19.0,9,"[4, 2, 3, 5, 9, 7, 6, 10, 11]","[2809, 3637, 4556, 5377, 7745, 8974, 10226, 12206, 13098]","[1, 2, 6, 11]","[14307, 15088, 16401]"
80,5,1,demonstration,full,1,0,[],55.0,7,"[2, 3, 4, 7, 5, 8, 15]","[1007, 2005, 3005, 4005, 5005, 6005, 9005]","[1, 4, 8, 14]","[7002, 8001, 10001]"
