action_times,actions,block,path,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_id,trial_type,pid
"[5245, 5795, 6344]","[u'left', u'left', u'up']",test,"[u'0', u'9', u'10', u'11']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'10'], u'time': [3193, 4249]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, -5]","[5241, 43, 41]",-12.0,"[None, None, None]","[u'', -5, -10, 10, 5, 10, 5, 10, 5, 5, -10, -5, -10]",746397,47.0,3.569831271632112e+18,mouselab-mdp,12
"[6662, 7183, 7843]","[u'right', u'right', u'up']",test,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'5'], u'time': [1207, 4997]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[6659, 2, 129]",18.0,"[None, None, None]","[u'', 10, -5, -10, -5, 5, 5, 10, -10, -10, 5, 10, -10]",756781,48.0,-8.642469369171842e+18,mouselab-mdp,12
"[4013, 4894, 5743]","[u'up', u'up', u'left']",test,"[u'0', u'1', u'2', u'4']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'1'], u'time': [838, 2864]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, 5, 10]","[4010, 371, 338]",18.0,"[None, None, None]","[u'', 5, 5, 5, 10, 5, -5, -5, -10, -5, -10, 10, -10]",765010,49.0,5.189627300054367e+18,mouselab-mdp,12
"[26903, 27936, 29047]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, -5]","[26897, 529, 568]",-10.0,"[None, None, None]","[u'', 5, -10, -5, 10, 10, 5, -10, 5, 5, -5, -5, 5]",37488,0.0,8.034619116489217e+18,mouselab-mdp,13
"[4558, 5307, 7081]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, -5, 5]","[4549, 209, 1232]",10.0,"[None, None, None]","[u'', 10, 5, 10, 5, 10, -5, 5, -10, -5, -10, -5, -10]",51713,1.0,-8.861839220469794e+18,mouselab-mdp,13
"[5219, 6462, 7364]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, 5, 5]","[5214, 711, 364]",5.0,"[None, None, None]","[u'', -10, -5, -5, 5, -5, 5, 5, 5, 5, -10, 10, 10]",63911,2.0,5.514906028833953e+18,mouselab-mdp,13
"[3435, 4107, 5280]","[u'up', u'up', u'right']",train_basic,"[u'0', u'1', u'2', u'3']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[5, -10, 10]","[3431, 136, 640]",5.0,"[None, None, None]","[u'', 5, -10, 10, -10, -5, 10, -10, 5, 5, 10, -5, -10]",73615,3.0,-5.616229570178317e+18,mouselab-mdp,13
"[3187, 4089, 4873]","[u'right', u'right', u'up']",train_basic,"[u'0', u'5', u'6', u'7']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[10, 10, 5]","[3183, 367, 251]",25.0,"[None, None, None]","[u'', -10, -5, -5, 10, 10, 10, 5, -5, -5, 10, 5, 10]",82125,4.0,-2.464562972607473e+18,mouselab-mdp,13
"[6000, 6982, 7833]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, -10, 10]","[5996, 440, 311]",-5.0,"[None, None, None]","[u'', -10, -10, -10, -10, -5, -10, -10, 10, -5, 5, -5, -5]",95739,5.0,4.1891588108237983e+18,mouselab-mdp,13
"[5602, 7058, 7746]","[u'right', u'right', u'down']",train_basic,"[u'0', u'5', u'6', u'8']","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-5, -10, 10]","[5597, 926, 164]",-5.0,"[None, None, None]","[u'', -10, -5, 10, -10, -5, -10, 10, 10, -10, -5, -10, 10]",106976,6.0,-7.342034422792319e+18,mouselab-mdp,13
