,pid,info_cost,PR_type,message,trial_index,trial_id,delays,score,n_click,clicks,click_times,path,action_times
86,7,1.0,none,none,7,8.0,[3],2.0,10,"[1, 5, 6, 13, 14, 16, 15, 9, 10, 12]","[2100, 3904, 4656, 8049, 8679, 9633, 10483, 12092, 13190, 14024]","[1, 10, 12]","[15402, 19520, 20436]"
87,7,1.0,none,none,8,4.0,[3],24.0,4,"[1, 5, 6, 7]","[3512, 4647, 5300, 5982]","[1, 6, 7]","[7763, 9010, 9807]"
88,7,1.0,none,none,9,6.0,[3],16.0,4,"[1, 2, 3, 4]","[2311, 3069, 3797, 4694]","[1, 2, 4]","[6421, 7257, 8063]"
89,7,1.0,none,none,10,2.0,[3],16.0,4,"[13, 5, 6, 8]","[1946, 2830, 3494, 4690]","[1, 6, 8]","[5986, 7029, 7840]"
90,7,1.0,none,none,11,12.0,[],15.0,5,"[13, 5, 1, 2, 3]","[2350, 3275, 4203, 5003, 5868]","[1, 2, 3]","[7497, 8273, 8924]"
91,7,1.0,none,none,12,3.0,[],-20.0,16,"[13, 5, 9, 10, 1, 2, 12, 11, 7, 6, 8, 14, 16, 15, 3, 4]","[2194, 2997, 3911, 4584, 5686, 6270, 7986, 9623, 11138, 11807, 12364, 13307, 13758, 14407, 15442, 16139]","[1, 10, 11]","[18058, 18842, 20012]"
92,7,1.0,none,none,13,11.0,[],1.0,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12]","[2205, 2906, 3904, 4840, 6386, 7135, 7868, 9218, 10454, 11323, 12056]","[1, 10, 12]","[13693, 14515, 15286]"
93,7,1.0,none,none,14,0.0,[],-4.0,8,"[1, 2, 3, 4, 5, 9, 10, 12]","[2044, 2851, 3734, 4578, 5496, 6722, 8064, 9212]","[1, 10, 12]","[10921, 11706, 12621]"
94,7,1.0,none,none,15,14.0,[],23.0,5,"[13, 5, 6, 7, 8]","[4980, 6932, 7857, 8868, 9835]","[1, 6, 8]","[11620, 12717, 13692]"
95,7,1.0,none,none,16,1.0,[],31.0,5,"[13, 5, 6, 8, 7]","[1414, 2591, 3546, 4550, 6361]","[1, 6, 8]","[7891, 8688, 9865]"
96,8,1.0,featureBased,full,1,13.0,[1],34.0,10,"[16, 15, 4, 3, 7, 8, 12, 11, 1, 2]","[4006, 7308, 8756, 10433, 11723, 12678, 13856, 14720, 16950, 17640]","[1, 2, 4]","[18815, 19734, 20447]"
97,8,1.0,featureBased,full,2,15.0,[1],28.0,8,"[4, 3, 15, 16, 11, 12, 7, 8]","[5277, 6747, 7835, 8963, 10268, 11069, 12221, 13018]","[1, 10, 12]","[17343, 19213, 20272]"
