,Unnamed: 0,id,,condition,score,norm_score
896,3547,A2TWNZAXELMZXX:3R9WASFE20N4DWFYHDEY50U029HZFR,,2,103,-665
903,3554,A29GJGXFU9BQQG:3WLEIWSYHPOYLH3SNWTKLAW6XFW2HL,,0,340,-545
909,3560,A1X53DM4NR6P07:3MB8LZR5BG0VOTQ83NEMDYB7VWRLKX,,1,816,-73
916,3567,AMKKZCMZW9O1T:3570Y55XZQQAM61OWBIX9ELAXUEGYH,,2,470,-195
923,3574,A2W121DQXNQK1:3VA45EW49OU1OD7J85OW00J2HVWO1E,,2,450,-300
930,3581,A77K8W55MJEKX:3JWH6J9I9TKKJQPZ9NH8RNW6DXINBH,,0,129,-756
936,3587,AM6UAUQNJE1A6:37TD41K0AIG0989AVJUP11CUIHQSC5,,2,92,-476
943,3594,A3PRFA3M7OSCT5:3EA3QWIZ4J2S1B8PCTV1M96BX5OTIX,,0,-9,-760
949,3600,A3GMRPF5MCQVGV:3PMBY0YE28AI4TDBMDUYK674QT19CB,,2,714,-171
956,3607,AQKC1VIZAZ6VI:3PIWWX1FJKDUIJWQIH2XW4Y2CIMJJU,,0,603,-62
962,3613,ACXPNVY0QDNHR:3G5W44VEU8PF21C7SWH6066ZZF5GKM,,0,858,-10
968,3619,A3OTBMKOEQ410P:37U1UTWH9WTMWQJKZIEF95BF6OM8RR,,2,572,-77
975,3626,A1QKIA8XRNEXIG:3UWN2HHPUZCJ0C61K933HC66HL4NSI,,2,842,4
982,3633,A397D1I20OGUK7:3Y9N9SS8LZI6UJU950OZDZM0B13D3Y,,2,902,-73
989,3640,A1KK4Y91LI60V0:33IZTU6J828OC6K5MFQCFEX4JZEXSC,,1,784,-155
996,3647,A27INSDNTACWAM:3907X2AHF1CQYY1G691PUJYXJ662PQ,,0,191,-677
1002,3653,A2XPVEIOJDXARW:3137ONMDKHCCG1KXWA632BTUFI9GE2,,0,556,-329
1008,3659,A2K5S80NT1PKK4:3ITXP059PXQNHMFG5BBBO5PP81ZJSA,,0,100,-565
1014,3665,A2X823PACMMOKP:30JNVC0ORARFD05DP7JLHSU9DLAQHN,,1,593,-51
